"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"110001 Alta Floresta D'Oeste";61;48;99;136;113;112;111;75;92;101;103;1051
"110037 Alto Alegre dos Parecis";10;3;34;4;7;4;2;2;4;2;2;74
"110040 Alto Paraíso";3;6;10;12;26;14;9;10;10;14;8;122
"110034 Alvorada D'Oeste";16;16;15;16;10;15;5;11;8;19;12;143
"110002 Ariquemes";43;111;71;48;40;73;89;71;68;105;65;784
"110045 Buritis";2;5;3;-;2;37;37;22;19;20;26;173
"110003 Cabixi";2;10;8;5;7;3;3;1;7;1;8;55
"110060 Cacaulândia";3;11;1;-;5;-;3;1;2;1;4;31
"110004 Cacoal";50;46;59;61;55;67;77;74;71;58;66;684
"110070 Campo Novo de Rondônia";7;37;10;12;8;24;15;5;7;13;3;141
"110080 Candeias do Jamari";4;4;3;3;8;13;10;6;12;10;6;79
"110090 Castanheiras";-;4;10;2;9;7;5;5;2;4;2;50
"110005 Cerejeiras";23;90;38;31;14;18;14;35;22;25;27;337
"110092 Chupinguaia";3;1;6;3;4;4;5;5;1;2;4;38
"110006 Colorado do Oeste";27;36;46;35;19;34;15;22;9;28;27;298
"110007 Corumbiara";4;7;12;4;1;1;3;3;3;6;3;47
"110008 Costa Marques";1;1;1;-;1;5;44;5;17;21;24;120
"110094 Cujubim";7;4;2;3;2;5;1;4;-;8;12;48
"110009 Espigão D'Oeste";25;32;23;26;17;28;43;40;32;30;46;342
"110100 Governador Jorge Teixeira";5;14;23;13;13;5;9;6;9;1;-;98
"110010 Guajará-Mirim";28;21;56;97;82;64;38;63;79;103;64;695
"110110 Itapuã do Oeste";-;1;2;-;-;1;2;3;1;-;1;11
"110011 Jaru";45;51;50;37;25;14;37;25;19;26;47;376
"110012 Ji-Paraná";136;147;158;60;14;6;21;28;94;106;99;869
"110013 Machadinho D'Oeste";11;25;44;32;25;35;30;22;4;11;34;273
"110120 Ministro Andreazza";4;3;22;25;32;35;26;8;15;11;10;191
"110130 Mirante da Serra";21;7;11;18;24;16;27;13;10;14;17;178
"110140 Monte Negro";45;27;9;18;9;4;13;3;1;3;5;137
"110014 Nova Brasilândia D'Oeste";25;17;34;25;21;5;18;4;18;22;10;199
"110033 Nova Mamoré";6;13;13;17;13;13;16;18;25;30;13;177
"110143 Nova União";2;2;8;19;7;3;2;3;3;5;2;56
"110050 Novo Horizonte do Oeste";1;38;38;35;11;15;31;26;20;30;17;262
"110015 Ouro Preto do Oeste";78;127;76;45;86;140;87;73;51;50;46;859
"110145 Parecis";2;1;6;2;7;13;2;7;9;5;4;58
"110018 Pimenta Bueno";67;41;42;58;53;70;42;70;49;81;138;711
"110146 Pimenteiras do Oeste";1;5;7;2;12;4;2;-;2;-;-;35
"110020 Porto Velho";47;79;106;118;158;161;184;154;153;149;116;1425
"110025 Presidente Médici";68;110;102;40;31;31;26;23;25;16;12;484
"110147 Primavera de Rondônia";3;8;1;3;4;10;3;9;5;4;9;59
"110026 Rio Crespo";2;-;1;-;1;1;3;8;1;1;-;18
"110028 Rolim de Moura";85;112;97;97;120;71;70;80;91;100;45;968
"110029 Santa Luzia D'Oeste";29;50;11;27;27;33;32;29;25;11;28;302
"110148 São Felipe D'Oeste";2;1;6;1;3;2;1;3;2;8;3;32
"110149 São Francisco do Guaporé";33;3;15;19;8;5;24;18;12;9;5;151
"110032 São Miguel do Guaporé";23;27;24;35;33;46;38;34;21;30;13;324
"110150 Seringueiras";3;1;2;1;1;4;2;2;3;5;2;26
"110155 Teixeirópolis";8;4;15;4;13;4;2;1;4;3;1;59
"110160 Theobroma";4;3;5;3;4;5;5;2;5;6;6;48
"110170 Urupá";4;13;31;32;13;5;2;8;18;16;23;165
"110175 Vale do Anari";1;3;3;5;3;-;3;1;3;5;3;30
"110180 Vale do Paraíso";-;8;17;8;16;7;1;10;8;9;2;86
"110030 Vilhena";94;76;83;58;55;43;83;60;56;66;69;743
"120001 Acrelândia";1;1;6;1;1;8;4;4;5;3;3;37
"120005 Assis Brasil";1;6;11;9;7;8;3;1;1;2;1;50
"120010 Brasiléia";26;27;21;54;31;35;24;18;40;20;26;322
"120013 Bujari";3;1;1;-;3;3;-;1;2;-;1;15
"120017 Capixaba";9;2;1;1;2;2;1;3;6;-;5;32
"120020 Cruzeiro do Sul";51;53;34;27;11;6;1;4;7;10;30;234
"120025 Epitaciolândia";8;15;14;20;5;16;9;11;17;12;20;147
"120030 Feijó";3;14;5;15;11;7;3;3;-;5;4;70
"120032 Jordão";-;-;-;1;-;-;1;-;-;-;1;3
"120033 Mâncio Lima";1;4;2;9;3;2;8;19;25;9;10;92
"120034 Manoel Urbano";1;3;2;23;6;21;15;22;25;20;15;153
"120035 Marechal Thaumaturgo";2;3;3;-;-;-;-;-;1;-;-;9
"120038 Plácido de Castro";19;15;18;15;9;23;15;9;13;18;4;158
"120080 Porto Acre";5;8;3;2;5;5;4;7;-;3;3;45
"120039 Porto Walter";-;1;-;1;-;-;1;5;4;2;1;15
"120040 Rio Branco";186;158;164;155;119;151;141;144;166;118;105;1607
"120042 Rodrigues Alves";-;6;2;13;5;5;13;6;-;3;6;59
"120043 Santa Rosa do Purus";-;-;1;-;1;-;1;2;8;2;1;16
"120050 Sena Madureira";21;64;136;188;170;218;217;126;231;160;189;1720
"120045 Senador Guiomard";33;32;26;22;11;9;19;34;13;11;9;219
"120060 Tarauacá";9;31;24;20;24;31;44;38;66;50;67;404
"120070 Xapuri";9;16;5;12;12;37;50;17;17;28;36;239
"130002 Alvarães";-;-;-;-;-;3;2;5;18;3;-;31
"130006 Amaturá";-;-;1;-;-;1;-;-;-;-;1;3
"130008 Anamã";1;1;1;1;-;6;3;3;2;-;-;18
"130010 Anori";2;-;1;-;-;-;-;-;-;2;1;6
"130014 Apuí";8;19;22;13;8;22;16;25;35;17;8;193
"130020 Atalaia do Norte";-;-;-;-;-;-;-;-;2;-;2;4
"130030 Autazes";1;1;8;3;6;4;3;5;6;-;1;38
"130040 Barcelos";1;8;4;2;14;5;4;1;8;6;6;59
"130050 Barreirinha";2;2;3;5;7;4;14;7;7;5;19;75
"130060 Benjamin Constant";-;-;-;-;-;-;-;1;1;3;7;12
"130063 Beruri";1;-;-;-;-;6;1;1;1;1;1;12
"130068 Boa Vista do Ramos";-;-;-;-;-;-;-;-;-;-;6;6
"130070 Boca do Acre";4;4;12;30;37;27;36;31;19;37;39;276
"130080 Borba";5;4;-;7;16;9;3;19;19;21;15;118
"130083 Caapiranga";-;7;1;-;-;2;-;-;3;6;-;19
"130090 Canutama";-;-;1;-;-;-;-;-;-;-;-;1
"130100 Carauari";5;7;9;4;-;12;2;5;4;4;7;59
"130110 Careiro";10;20;2;1;-;1;2;2;5;4;3;50
"130115 Careiro da Várzea";1;-;2;-;-;-;-;2;-;-;1;6
