"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"110001 Alta Floresta D'Oeste";3;2;4;19;6;17;18;8;9;3;6;95
"110037 Alto Alegre dos Parecis";-;3;4;1;2;4;2;1;1;1;7;26
"110040 Alto Paraíso";2;2;8;9;3;2;2;2;4;5;1;40
"110034 Alvorada D'Oeste";1;1;2;6;3;3;6;3;13;4;7;49
"110002 Ariquemes";3;9;17;24;15;22;32;39;79;92;80;412
"110045 Buritis";3;2;3;5;5;-;5;7;3;3;9;45
"110003 Cabixi";-;1;-;1;3;-;4;1;2;-;6;18
"110060 Cacaulândia";-;1;3;5;-;1;2;2;1;-;3;18
"110004 Cacoal";6;5;11;16;27;16;21;24;15;32;31;204
"110070 Campo Novo de Rondônia";1;-;1;2;1;3;2;-;7;2;3;22
"110080 Candeias do Jamari";7;3;1;4;2;8;5;5;12;10;17;74
"110090 Castanheiras";-;2;-;-;1;-;-;-;-;-;-;3
"110005 Cerejeiras";2;4;2;6;7;1;3;4;8;5;-;42
"110092 Chupinguaia";-;-;-;-;-;1;4;5;1;4;5;20
"110006 Colorado do Oeste";1;2;3;7;-;-;18;2;4;12;14;63
"110007 Corumbiara";-;1;3;-;-;-;3;1;-;-;-;8
"110008 Costa Marques";-;-;-;-;-;1;3;-;2;4;5;15
"110094 Cujubim";-;1;-;2;-;-;1;7;3;6;13;33
"110009 Espigão D'Oeste";-;-;5;3;3;-;3;2;1;1;1;19
"110100 Governador Jorge Teixeira";2;1;5;5;5;-;-;-;5;-;1;24
"110010 Guajará-Mirim";5;4;4;5;5;5;2;14;28;17;16;105
"110110 Itapuã do Oeste";2;1;2;7;-;2;-;-;14;-;4;32
"110011 Jaru";19;14;5;18;13;22;20;19;15;18;25;188
"110012 Ji-Paraná";6;11;18;28;22;16;23;49;46;61;141;421
"110013 Machadinho D'Oeste";3;-;2;4;2;2;2;3;-;10;14;42
"110120 Ministro Andreazza";-;1;-;-;1;1;-;1;16;9;19;48
"110130 Mirante da Serra";-;2;2;2;1;2;9;7;7;1;9;42
"110140 Monte Negro";4;2;1;3;-;-;-;1;4;4;4;23
"110014 Nova Brasilândia D'Oeste";1;-;-;2;-;2;1;2;4;7;3;22
"110033 Nova Mamoré";3;2;7;7;4;-;1;10;10;8;5;57
"110143 Nova União";-;4;2;-;-;1;-;-;-;-;1;8
"110050 Novo Horizonte do Oeste";1;-;-;3;6;4;10;6;9;10;6;55
"110015 Ouro Preto do Oeste";5;11;16;21;12;22;21;22;26;42;48;246
"110145 Parecis";-;-;4;1;2;1;7;5;1;6;5;32
"110018 Pimenta Bueno";3;-;2;3;3;5;7;9;7;6;25;70
"110146 Pimenteiras do Oeste";-;-;-;-;1;-;-;1;2;1;1;6
"110020 Porto Velho";70;131;195;351;363;565;420;396;599;457;818;4365
"110025 Presidente Médici";2;4;5;6;-;1;1;7;6;4;6;42
"110147 Primavera de Rondônia";-;-;-;-;-;1;-;2;1;-;6;10
"110026 Rio Crespo";-;-;1;-;-;-;-;-;-;2;4;7
"110028 Rolim de Moura";1;2;-;3;16;1;6;5;11;27;36;108
"110029 Santa Luzia D'Oeste";1;1;4;1;2;-;-;2;2;1;1;15
"110148 São Felipe D'Oeste";-;1;-;-;2;-;-;1;-;-;1;5
"110149 São Francisco do Guaporé";-;1;3;-;-;2;6;4;4;2;12;34
"110032 São Miguel do Guaporé";5;1;1;7;8;-;2;1;7;19;17;68
"110150 Seringueiras";1;-;2;3;-;3;-;4;7;1;3;24
"110155 Teixeirópolis";-;-;1;2;-;1;2;-;-;3;1;10
"110160 Theobroma";2;2;4;2;3;1;6;6;9;6;2;43
"110170 Urupá";1;-;1;-;-;-;-;1;2;4;4;13
"110175 Vale do Anari";-;1;-;-;1;-;1;1;2;4;-;10
"110180 Vale do Paraíso";-;1;-;-;-;2;3;2;2;-;1;11
"110030 Vilhena";3;1;3;7;10;7;88;102;66;125;226;638
"120001 Acrelândia";6;1;8;7;8;13;20;8;7;5;8;91
