,MUNCOD,QUANTIDADE
0,110002,13.0
1,110004,8.0
2,110009,1.0
3,110010,3.0
4,110011,3.0
5,110012,5.0
6,110033,1.0
7,110020,249.0
8,110025,1.0
9,110028,2.0
10,110030,23.0
11,120040,57.0
12,130050,1.0
13,130060,4.0
14,130120,1.0
15,130130,1.0
16,130160,1.0
17,130185,1.0
18,130190,11.0
19,130250,1.0
20,130260,447.0
21,130290,1.0
22,130340,3.0
23,130406,2.0
24,140010,148.0
25,150010,3.0
26,150060,21.0
27,150080,24.0
28,150095,1.0
29,150130,6.0
30,150140,515.0
31,150170,3.0
32,150180,1.0
33,150210,1.0
34,150220,8.0
35,150230,1.0
36,150240,12.0
37,150270,1.0
38,150304,2.0
39,150360,4.0
40,150420,2.0
41,150442,5.0
42,150480,1.0
43,150503,3.0
44,150530,2.0
45,150543,1.0
46,150550,16.0
47,150553,54.0
48,150611,3.0
49,150613,1.0
50,150619,1.0
51,150620,6.0
52,150630,2.0
53,150670,1.0
54,150680,128.0
55,150730,5.0
56,150747,2.0
57,150805,1.0
58,150810,15.0
59,150840,3.0
60,160010,1.0
61,160030,145.0
62,160060,1.0
63,160080,1.0
64,170210,29.0
65,170255,1.0
66,170384,2.0
67,170550,1.0
68,170950,12.0
69,172100,57.0
70,171610,9.0
71,171820,1.0
72,210120,14.0
73,210125,1.0
74,210160,5.0
75,210200,1.0
76,210300,18.0
77,210330,12.0
78,210340,2.0
79,210360,4.0
80,210409,1.0
81,210515,1.0
82,210530,59.0
83,210675,1.0
84,210750,5.0
85,210820,19.0
86,210840,1.0
87,210845,2.0
88,210850,1.0
89,210860,6.0
90,210880,1.0
91,210910,3.0
92,210945,1.0
93,210980,1.0
94,211020,1.0
95,211065,1.0
96,211110,1.0
97,211120,6.0
98,211130,631.0
99,211150,2.0
100,211220,2.0
101,211245,3.0
102,220177,1.0
103,220700,2.0
104,220770,1.0
105,220800,3.0
106,220840,10.0
107,221100,295.0
108,230110,6.0
109,230190,4.0
110,230350,6.0
111,230370,16.0
112,230420,4.0
113,230440,682.0
114,230550,3.0
115,230640,1.0
116,230725,1.0
117,230730,11.0
118,230765,10.0
119,230930,1.0
120,231020,1.0
121,231180,3.0
122,231290,72.0
123,240200,5.0
124,240480,1.0
125,240800,117.0
126,240810,230.0
127,240820,3.0
128,240325,1.0
129,241200,2.0
130,241440,1.0
131,250400,55.0
132,250540,1.0
133,250630,1.0
134,250750,303.0
135,251080,2.0
136,260070,2.0
137,260120,2.0
138,260160,1.0
139,260170,4.0
140,260290,10.0
141,260310,1.0
142,260345,2.0
143,260400,10.0
144,260410,57.0
145,260520,1.0
146,260600,19.0
147,260620,1.0
148,260640,2.0
149,260720,4.0
150,260790,17.0
151,260920,1.0
152,260940,3.0
153,260960,13.0
154,260990,4.0
155,261000,2.0
156,261070,19.0
157,261090,1.0
158,261100,1.0
159,261110,18.0
160,261160,734.0
161,261220,5.0
162,261250,1.0
163,261300,1.0
164,261370,1.0
165,261390,3.0
166,261500,1.0
167,261530,1.0
168,261620,1.0
169,261640,6.0
170,270030,9.0
171,270120,1.0
172,270320,1.0
173,270430,413.0
174,270630,2.0
175,270690,1.0
176,270790,1.0
177,280030,305.0
178,280150,1.0
179,280320,1.0
180,280350,3.0
181,280450,4.0
182,290070,21.0
183,290100,1.0
184,290320,22.0
185,290390,5.0
186,290490,2.0
187,290560,1.0
188,290570,19.0
189,290600,1.0
190,290800,1.0
191,290830,2.0
192,290860,1.0
193,290930,1.0
194,291005,3.0
195,291072,10.0
196,291080,107.0
197,291120,1.0
198,291170,10.0
199,291190,1.0
200,291250,1.0
201,291360,18.0
202,291460,7.0
203,291465,2.0
204,291470,4.0
205,291480,33.0
206,291600,1.0
207,291620,1.0
208,291640,3.0
209,291650,1.0
210,291733,1.0
211,291750,1.0
212,291770,1.0
213,291800,21.0
214,291840,42.0
215,291890,1.0
216,291920,8.0
217,291955,1.0
218,292110,2.0
219,292170,1.0
220,292250,2.0
221,292400,3.0
222,292520,1.0
223,292530,7.0
224,292550,1.0
225,292600,1.0
226,292630,2.0
227,292740,546.0
228,292810,1.0
229,292870,27.0
230,292950,1.0
231,292975,1.0
232,293010,4.0
233,293050,6.0
234,293070,1.0
235,293135,10.0
236,293160,1.0
237,293250,5.0
238,293290,8.0
239,293330,64.0
240,293350,2.0
241,310150,4.0
242,310160,13.0
243,310260,1.0
244,310350,14.0
245,310400,16.0
246,310560,5.0
247,310620,590.0
248,310670,35.0
249,310710,1.0
250,311000,1.0
251,311120,1.0
252,311530,1.0
253,311787,1.0
254,311830,6.0
255,311860,20.0
256,311940,13.0
257,312050,1.0
258,312090,2.0
259,312160,8.0
260,312230,45.0
261,312570,1.0
262,312610,2.0
263,312710,4.0
264,312770,20.0
265,312850,1.0
266,312870,6.0
267,312970,1.0
268,312980,3.0
269,313130,9.0
270,313170,2.0
271,313190,5.0
272,313240,4.0
273,313380,2.0
274,313420,4.0
275,313490,1.0
276,313510,2.0
277,313580,1.0
278,313620,4.0
279,313670,145.0
280,313720,3.0
281,313760,2.0
282,313820,7.0
283,313840,2.0
284,313862,1.0
285,313940,4.0
286,314000,2.0
287,314330,41.0
288,314390,13.0
289,314460,1.0
290,314480,13.0
291,314520,1.0
292,314560,1.0
293,314610,2.0
294,314710,1.0
295,314700,1.0
296,314730,1.0
297,314740,1.0
298,314790,10.0
299,314800,27.0
300,314810,1.0
301,315020,1.0
302,315120,2.0
303,315180,8.0
304,315210,3.0
305,315250,33.0
306,315280,1.0
307,315460,6.0
308,315670,9.0
309,315720,1.0
310,315780,2.0
311,315935,1.0
312,315960,2.0
313,316070,1.0
314,316250,11.0
315,316370,4.0
316,316470,4.0
317,316650,1.0
318,316720,51.0
319,316860,38.0
320,316870,2.0
321,316880,1.0
322,316930,8.0
323,316940,6.0
324,316990,5.0
325,317010,37.0
326,317020,134.0
327,317040,2.0
328,317047,1.0
329,317070,4.0
330,317120,1.0
331,317130,3.0
332,317190,1.0
333,320060,7.0
334,320120,39.0
335,320130,5.0
336,320140,1.0
337,320150,12.0
338,320230,8.0
339,320240,11.0
340,320320,5.0
341,320334,1.0
342,320390,4.0
343,320490,12.0
344,320500,93.0
345,320501,1.0
346,320510,2.0
347,320520,43.0
348,320530,86.0
349,330010,6.0
350,330020,6.0
351,330022,1.0
352,330023,3.0
353,330025,1.0
354,330030,4.0
355,330040,5.0
356,330045,26.0
357,330060,11.0
358,330100,43.0
359,330093,1.0
360,330170,79.0
361,330185,23.0
362,330187,4.0
363,330190,5.0
364,330200,2.0
365,330220,15.0
366,330225,1.0
367,330227,10.0
368,330240,19.0
369,330250,9.0
370,330260,4.0
371,330270,6.0
372,330300,3.0
373,330310,2.0
374,330320,1.0
375,330330,120.0
376,330340,15.0
377,330350,94.0
378,330370,1.0
379,330380,1.0
380,330390,23.0
381,330410,1.0
382,330414,7.0
383,330415,3.0
384,330420,6.0
385,330430,4.0
386,330450,1.0
387,330452,16.0
388,330455,901.0
389,330480,1.0
390,330490,3.0
391,330500,2.0
392,330510,5.0
393,330515,1.0
394,330520,1.0
395,330540,2.0
396,330550,2.0
397,330555,7.0
398,330580,7.0
399,330600,8.0
400,330610,2.0
401,330630,100.0
402,350010,3.0
403,350050,1.0
404,350160,18.0
405,350170,5.0
406,350190,5.0
407,350210,12.0
408,350250,3.0
409,350275,2.0
410,350280,31.0
411,350320,25.0
412,350330,4.0
413,350380,3.0
414,350390,1.0
415,350400,12.0
416,350410,12.0
417,350450,2.0
418,350550,44.0
419,350570,71.0
420,350590,1.0
421,350600,60.0
422,350610,34.0
423,350635,1.0
424,350650,19.0
425,350700,13.0
426,350750,45.0
427,350760,15.0
428,350810,2.0
429,350840,1.0
430,350850,1.0
431,350900,2.0
432,350920,9.0
433,350925,4.0
434,350950,233.0
435,350970,4.0
436,351040,10.0
437,351050,40.0
438,351060,28.0
439,351080,3.0
440,351110,27.0
441,351150,2.0
442,355720,1.0
443,351280,6.0
444,351300,19.0
445,351340,1.0
446,351350,10.0
447,351370,3.0
448,351380,43.0
449,351440,4.0
450,351500,10.0
451,351550,15.0
452,351570,11.0
453,351620,30.0
454,351630,9.0
455,351640,11.0
456,351670,1.0
457,351820,1.0
458,351840,16.0
459,351860,1.0
460,351870,61.0
461,351880,130.0
462,351907,12.0
463,351960,3.0
464,352044,2.0
465,352050,16.0
466,352100,1.0
467,352210,19.0
468,352220,5.0
469,352230,6.0
470,352240,14.0
471,352250,14.0
472,352260,5.0
473,352270,1.0
474,352310,8.0
475,352320,4.0
476,352340,2.0
477,352390,20.0
478,352410,7.0
479,352430,1.0
480,352440,23.0
481,352470,5.0
482,352480,16.0
483,352500,5.0
484,352510,4.0
485,352530,15.0
486,352590,61.0
487,352600,3.0
488,352670,11.0
489,352680,2.0
490,352690,24.0
491,352710,10.0
492,352720,4.0
493,352730,2.0
494,352740,1.0
495,352840,1.0
496,352850,3.0
497,352870,1.0
498,352900,32.0
499,352920,2.0
500,352930,2.0
501,352940,41.0
502,353030,1.0
503,353050,4.0
504,353060,63.0
505,353070,17.0
506,353080,4.0
507,353110,2.0
508,353120,1.0
509,353130,5.0
510,353180,1.0
511,353340,2.0
512,353390,6.0
513,353420,1.0
514,353440,64.0
515,353470,16.0
516,353550,3.0
517,353620,3.0
518,353650,4.0
519,353670,1.0
520,353710,1.0
521,353730,8.0
522,353740,1.0
523,353760,1.0
524,353780,1.0
525,353800,2.0
526,353870,26.0
527,353920,1.0
528,353930,9.0
529,353980,3.0
530,354060,2.0
531,354070,3.0
532,354075,3.0
533,354100,16.0
534,354130,4.0
535,354140,56.0
536,354150,1.0
537,354220,4.0
538,354240,1.0
539,354260,17.0
540,354330,4.0
541,354340,126.0
542,354390,12.0
543,354520,16.0
544,354580,18.0
545,354660,5.0
546,354680,2.0
547,354780,61.0
548,354850,90.0
549,354870,83.0
550,354880,2.0
551,354890,33.0
552,354910,13.0
553,354970,2.0
554,354980,148.0
555,354990,84.0
556,355030,2.231
557,355040,1.0
558,355070,2.0
559,355090,1.0
560,355100,16.0
561,355150,1.0
562,355170,8.0
563,355220,15.0
564,355240,23.0
565,355250,8.0
566,355280,22.0
567,355370,3.0
568,355400,18.0
569,355410,26.0
570,355430,1.0
571,355450,1.0
572,355480,2.0
573,355500,8.0
574,355510,2.0
575,355540,1.0
576,355620,15.0
577,355630,1.0
578,355640,12.0
579,355645,4.0
580,355700,8.0
581,355710,12.0
582,410080,1.0
583,410140,14.0
584,410150,6.0
585,410160,1.0
586,410180,22.0
587,410210,1.0
588,410230,1.0
589,410315,1.0
590,410370,15.0
591,410400,20.0
592,410420,20.0
593,410430,9.0
594,410440,1.0
595,410480,66.0
596,410490,11.0
597,410550,5.0
598,410570,3.0
599,410590,1.0
600,410640,5.0
601,410645,1.0
602,410650,5.0
603,410680,1.0
604,410690,372.0
605,410755,1.0
606,410765,3.0
607,410830,32.0
608,410845,1.0
609,410840,7.0
610,410850,2.0
611,410880,1.0
612,410940,9.0
613,410960,2.0
614,411070,3.0
615,411110,1.0
616,411120,1.0
617,411150,1.0
618,411180,3.0
619,411200,3.0
620,411370,168.0
621,411420,2.0
622,411480,1.0
623,411520,110.0
624,411540,1.0
625,411580,1.0
626,411600,1.0
627,411610,2.0
628,411695,1.0
629,411730,2.0
630,411760,2.0
631,411770,1.0
632,411820,10.0
633,411840,8.0
634,411850,20.0
635,411860,1.0
636,411880,1.0
637,411915,24.0
638,411930,1.0
639,411940,1.0
640,411950,15.0
641,411960,1.0
642,411980,1.0
643,411990,41.0
644,412060,2.0
645,412080,1.0
646,412090,1.0
647,412140,1.0
648,412150,1.0
649,412220,1.0
650,412320,1.0
651,412350,4.0
652,412470,1.0
653,412510,1.0
654,412550,39.0
655,412625,19.0
656,412770,53.0
657,412790,1.0
658,412800,2.0
659,412810,7.0
660,412820,4.0
661,412870,3.0
662,420090,1.0
663,420100,1.0
664,420140,20.0
665,420165,1.0
666,420195,2.0
667,420200,84.0
668,420207,3.0
669,420210,4.0
670,420230,24.0
671,420240,99.0
672,420245,1.0
673,420290,29.0
674,420300,5.0
675,420320,10.0
676,420350,1.0
677,420370,1.0
678,420380,5.0
679,420395,4.0
680,420417,1.0
681,420420,46.0
682,420460,70.0
683,420480,4.0
684,420540,247.0
685,420545,1.0
686,420550,2.0
687,420590,14.0
688,420650,6.0
689,420670,1.0
690,420690,1.0
691,420700,20.0
692,420730,13.0
693,420750,16.0
694,420770,1.0
695,420820,83.0
696,420830,12.0
697,420850,3.0
698,420880,1.0
699,420890,40.0
700,420900,3.0
701,420910,130.0
702,420930,43.0
703,420940,5.0
704,421010,1.0
705,421130,10.0
706,421170,6.0
707,421190,13.0
708,421250,9.0
709,421280,2.0
710,421320,2.0
711,421380,1.0
712,421480,40.0
713,421545,2.0
714,421550,4.0
715,421570,1.0
716,421580,10.0
717,421620,19.0
718,421650,1.0
719,421660,81.0
720,421720,15.0
721,421770,6.0
722,421790,1.0
723,421800,3.0
724,421820,14.0
725,421850,2.0
726,421870,61.0
727,421900,1.0
728,421930,2.0
729,421935,1.0
730,421950,17.0
731,421970,1.0
732,430040,10.0
733,430060,22.0
734,430080,1.0
735,430160,28.0
736,430210,10.0
737,430220,1.0
738,430300,8.0
739,430310,29.0
740,430350,13.0
741,430380,1.0
742,430390,8.0
743,430435,1.0
744,430440,2.0
745,430450,1.0
746,430460,66.0
747,430463,3.0
748,430470,1.0
749,430510,76.0
750,430535,5.0
751,430570,1.0
752,430610,30.0
753,430660,13.0
754,430676,5.0
755,430690,1.0
756,430700,10.0
757,430750,1.0
758,430770,8.0
759,430780,15.0
760,430790,2.0
761,430810,1.0
762,430820,1.0
763,430850,10.0
764,430860,3.0
765,430890,1.0
766,430900,2.0
767,430905,1.0
768,430910,3.0
769,430920,37.0
770,430930,9.0
771,430710,1.0
772,431010,2.0
773,431020,10.0
774,431033,1.0
775,431040,1.0
776,431070,2.0
777,431130,7.0
778,431140,36.0
779,431240,11.0
780,431270,1.0
781,431306,1.0
782,431330,1.0
783,431340,75.0
784,431350,17.0
785,431365,2.0
786,431370,15.0
787,431390,2.0
788,431405,4.0
789,431410,52.0
790,431440,124.0
791,431450,1.0
792,431480,1.0
793,431490,934.0
794,431530,1.0
795,431550,1.0
796,431560,92.0
797,431600,3.0
798,431610,1.0
799,431680,49.0
800,431690,100.0
801,431720,9.0
802,431730,7.0
803,431710,10.0
804,431740,6.0
805,431750,7.0
806,431760,2.0
807,431800,1.0
808,431830,6.0
809,431850,1.0
810,431870,49.0
811,431890,1.0
812,431900,1.0
813,431920,1.0
814,431950,1.0
815,431990,14.0
816,432000,38.0
817,432010,1.0
818,432080,3.0
819,432120,2.0
820,432150,8.0
821,432160,2.0
822,432180,2.0
823,432200,2.0
824,432240,9.0
825,432250,6.0
826,432260,11.0
827,432270,1.0
828,432300,20.0
829,432380,6.0
830,500025,1.0
831,500060,2.0
832,500110,4.0
833,500210,1.0
834,500230,1.0
835,500270,234.0
836,500290,1.0
837,500320,26.0
838,500330,1.0
839,500350,1.0
840,500370,80.0
841,500500,11.0
842,500540,1.0
843,500560,1.0
844,500570,28.0
845,500620,1.0
846,500630,16.0
847,500635,1.0
848,500660,4.0
849,500710,1.0
850,500740,4.0
851,500780,1.0
852,500795,1.0
853,500830,17.0
854,500840,1.0
855,510020,1.0
856,510025,3.0
857,510180,9.0
858,510250,29.0
859,510263,2.0
860,510270,1.0
861,510320,1.0
862,510335,12.0
863,510340,43.0
864,510350,10.0
865,510410,6.0
866,510510,3.0
867,510515,1.0
868,510525,3.0
869,510558,2.0
870,510562,2.0
871,510622,3.0
872,510623,1.0
873,510642,1.0
874,510650,2.0
875,510675,2.0
876,510682,1.0
877,510704,6.0
878,510760,185.0
879,510775,1.0
880,510787,2.0
881,510790,23.0
882,510792,9.0
883,510795,6.0
884,510840,26.0
885,520110,34.0
886,520140,20.0
887,520320,1.0
888,520450,9.0
889,520510,3.0
890,520735,1.0
891,520860,1.0
892,520870,387.0
893,521020,1.0
894,521040,1.0
895,521080,3.0
896,521090,1.0
897,521150,4.0
898,521190,20.0
899,521230,1.0
900,521250,2.0
901,521280,1.0
902,521380,2.0
903,521483,1.0
904,521730,1.0
905,521770,1.0
906,521800,1.0
907,521880,6.0
908,522040,1.0
909,522045,1.0
910,522140,1.0
911,530010,405.0
