,QUANTIDADE,MUNCOD
0,1,110001
1,2,110040
2,20,110002
3,2,110004
4,7,110080
5,1,110005
6,2,110008
7,1,110009
8,14,110010
9,1,110110
10,6,110011
11,14,110012
12,1,110013
13,1,110014
14,3,110033
15,1,110015
16,1,110018
17,379,110020
18,1,110025
19,4,110028
20,1,110160
21,1,110170
22,1,110180
23,6,110030
24,1,120001
25,2,120010
26,10,120020
27,1,120032
28,1,120034
29,1,120038
30,1,120080
31,1,120039
32,77,120040
33,2,120060
34,1,120070
35,1,130002
36,2,130014
37,8,130030
38,4,130040
39,4,130050
40,1,130060
41,1,130063
42,2,130068
43,8,130080
44,1,130083
45,4,130120
46,1,130130
47,1,130140
48,8,130160
49,7,130170
50,5,130185
51,24,130190
52,1,130200
53,2,130230
54,7,130250
55,1231,130260
56,7,130290
57,3,130300
58,7,130310
59,2,130320
60,14,130340
61,19,130353
62,9,130356
63,2,130370
64,1,130380
65,4,130406
66,5,130420
67,1,130430
68,1,130440
69,4,140005
70,132,140010
71,1,140015
72,3,140017
73,2,140020
74,1,140030
75,1,140040
76,3,140045
77,6,140047
78,2,140060
79,1,140070
80,12,150010
81,3,150040
82,5,150060
83,84,150080
84,2,150090
85,1,150095
86,1,150110
87,2,150120
88,11,150130
89,386,150140
90,2,150145
91,9,150150
92,2,150170
93,3,150178
94,1,150180
95,9,150190
96,2,150195
97,2,150210
98,6,150220
99,10,150240
100,4,150260
101,1,150275
102,1,150280
103,1,150293
104,1,150295
105,1,150310
106,2,150320
107,3,150330
108,2,150345
109,3,150350
110,9,150360
111,2,150375
112,4,150390
113,2,150405
114,1,150410
115,6,150420
116,2,150430
117,23,150442
118,4,150470
119,9,150480
120,1,150490
121,2,150503
122,6,150510
123,2,150520
124,7,150530
125,1,150548
126,11,150550
127,11,150553
128,1,150563
129,5,150570
130,1,150600
131,2,150611
132,4,150613
133,1,150619
134,5,150620
135,4,150630
136,5,150635
137,7,150650
138,2,150658
139,2,150660
140,82,150680
141,1,150700
142,4,150710
143,1,150720
144,11,150730
145,8,150745
146,2,150747
147,14,150760
148,1,150770
149,2,150790
150,5,150795
151,10,150800
152,2,150805
153,2,150808
154,4,150810
155,1,150812
156,6,150820
157,1,150830
158,1,150835
159,1,150840
160,1,160010
161,5,160027
162,1,160030
163,1,160060
164,7,170030
165,4,170100
166,1,170130
167,127,170210
168,10,170220
169,1,170230
170,7,170255
171,2,170290
172,4,170300
173,1,170320
174,7,170360
175,4,170380
176,4,170384
177,2,170388
178,10,170550
179,1,171670
180,3,170600
181,3,170650
182,2,170720
183,1,170770
184,1,170820
185,4,170930
186,1,170950
187,1,171070
188,3,171245
189,1,171320
190,2,171488
191,3,172100
192,2,171650
193,1,171880
194,1,171888
195,2,172020
196,3,172120
197,2,172208
198,10,172210
199,1,210005
200,1,210010
201,1,210020
202,2,210030
203,1,210040
204,2,210043
205,2,210070
206,1,210083
207,18,210120
208,1,210130
209,4,210140
210,2,210150
211,4,210170
212,3,210200
213,1,210220
214,3,210232
215,1,210260
216,1,210275
217,2,210280
218,4,210290
219,91,210300
220,3,210310
221,4,210320
222,49,210330
223,29,210340
224,4,210350
225,2,210370
226,2,210400
227,4,210405
228,2,210420
229,4,210460
230,1,210467
231,2,210470
232,1,210500
233,3,210530
234,6,210540
235,1,210570
236,1,210630
237,1,210632
238,1,210675
239,1,210725
240,21,210750
241,1,210770
242,1,210780
243,3,210790
244,1,210800
245,3,210805
246,1,210820
247,2,210825
248,1,210830
249,2,210845
250,1,210880
251,1,210890
252,1,210900
253,3,210930
254,1,210940
255,12,210945
256,4,210960
257,2,210975
258,1,210980
259,4,210990
260,3,211000
261,3,211003
262,1,211010
263,5,211020
264,1,211040
265,3,211050
266,2,211070
267,3,211090
268,7,211110
269,40,211120
270,3,211125
271,179,211130
272,6,211140
273,9,211150
274,56,211220
275,1,211223
276,1,211250
277,2,211290
278,4,211300
279,1,220020
280,7,220030
281,8,220040
282,3,220050
283,1,220060
284,1,220070
285,2,220110
286,14,220120
287,1,220150
288,2,220157
289,1,220160
290,2,220177
291,8,220190
292,1,220194
293,1,220205
294,1,220207
295,1,220209
296,1,220213
297,19,220220
298,7,220260
299,4,220290
300,2,220323
301,14,220330
302,7,220350
303,2,220370
304,2,220390
305,1,220400
306,1,220420
307,2,220450
308,1,220470
309,1,220480
310,6,220510
311,2,220550
312,8,220555
313,1,220560
314,2,220570
315,4,220580
316,7,220585
317,1,220595
318,2,220620
319,1,220650
320,1,220669
321,4,220672
322,4,220680
323,2,220690
324,2,220695
325,10,220700
326,1,220710
327,6,220750
328,5,220770
329,2,220775
330,4,220790
331,9,220800
332,4,220830
333,5,220840
334,1,220855
335,1,220870
336,1,220940
337,1,220980
338,1,221035
339,1,221038
340,1,221060
341,5,221065
342,1,221070
343,1,221095
344,519,221100
345,22,221110
346,1,221120
347,4,221130
348,1,230020
349,3,230030
350,3,230075
351,1,230090
352,15,230100
353,12,230110
354,1,230120
355,1,230130
356,1,230190
357,7,230195
358,3,230200
359,8,230210
360,7,230220
361,1,230250
362,19,230280
363,6,230290
364,1,230300
365,2,230330
366,14,230350
367,1,230365
368,122,230370
369,1,230380
370,1,230395
371,7,230410
372,1,230420
373,1,230423
374,1,230426
375,1,230427
376,15,230428
377,1,230435
378,1162,230440
379,1,230445
380,2,230460
381,1,230465
382,2,230495
383,1,230500
384,11,230523
385,1,230526
386,1,230533
387,1,230535
388,2,230540
389,15,230550
390,4,230560
391,2,230590
392,1,230610
393,1,230620
394,15,230625
395,2,230630
396,15,230640
397,5,230650
398,2,230660
399,3,230690
400,2,230700
401,1,230720
402,2,230725
403,5,230730
404,1,230740
405,3,230760
406,1,230763
407,61,230765
408,14,230770
409,1,230780
410,1,230810
411,1,230837
412,3,230870
413,6,230910
414,1,230930
415,2,230945
416,3,230950
417,20,230960
418,13,230970
419,3,230980
420,3,230990
421,1,231000
422,7,231020
423,1,231050
424,1,231085
425,4,231130
426,1,231150
427,2,231160
428,6,231180
429,2,231230
430,6,231240
431,4,231290
432,1,231300
433,7,231310
434,2,231330
435,1,231340
436,12,231350
437,2,231355
438,1,231375
439,3,231380
