"Município";"Internações"
"110001 Alta Floresta D'Oeste";43
"110037 Alto Alegre dos Parecis";5
"110040 Alto Paraíso";11
"110034 Alvorada D'Oeste";11
"110002 Ariquemes";65
"110045 Buritis";10
"110003 Cabixi";1
"110060 Cacaulândia";3
"110004 Cacoal";70
"110070 Campo Novo de Rondônia";5
"110080 Candeias do Jamari";15
"110090 Castanheiras";2
"110005 Cerejeiras";9
"110092 Chupinguaia";5
"110006 Colorado do Oeste";7
"110007 Corumbiara";5
"110008 Costa Marques";6
"110094 Cujubim";5
"110009 Espigão D'Oeste";12
"110100 Governador Jorge Teixeira";6
"110010 Guajará-Mirim";20
"110110 Itapuã do Oeste";6
"110011 Jaru";19
"110012 Ji-Paraná";106
"110013 Machadinho D'Oeste";23
"110120 Ministro Andreazza";6
"110140 Monte Negro";10
"110014 Nova Brasilândia D'Oeste";7
"110033 Nova Mamoré";12
"110143 Nova União";1
"110050 Novo Horizonte do Oeste";5
"110015 Ouro Preto do Oeste";30
"110145 Parecis";3
"110018 Pimenta Bueno";45
"110146 Pimenteiras do Oeste";3
"110020 Porto Velho";239
"110025 Presidente Médici";11
"110147 Primavera de Rondônia";2
"110028 Rolim de Moura";59
"110029 Santa Luzia D'Oeste";3
"110148 São Felipe D'Oeste";2
"110149 São Francisco do Guaporé";23
"110032 São Miguel do Guaporé";24
"110150 Seringueiras";7
"110155 Teixeirópolis";2
"110160 Theobroma";3
"110170 Urupá";7
"110175 Vale do Anari";3
"110180 Vale do Paraíso";4
"110030 Vilhena";77
"120001 Acrelândia";2
"120005 Assis Brasil";2
"120010 Brasiléia";3
"120013 Bujari";1
"120017 Capixaba";2
"120020 Cruzeiro do Sul";15
"120025 Epitaciolândia";1
"120030 Feijó";1
"120035 Marechal Thaumaturgo";1
"120038 Plácido de Castro";1
"120080 Porto Acre";3
"120039 Porto Walter";2
"120040 Rio Branco";59
"120042 Rodrigues Alves";3
"120043 Santa Rosa do Purus";1
"120050 Sena Madureira";4
"120045 Senador Guiomard";5
"120060 Tarauacá";24
"120070 Xapuri";8
"130008 Anamã";3
"130014 Apuí";17
"130020 Atalaia do Norte";1
"130030 Autazes";7
"130040 Barcelos";6
"130050 Barreirinha";3
"130060 Benjamin Constant";1
"130063 Beruri";1
"130070 Boca do Acre";2
"130080 Borba";8
"130100 Carauari";8
"130110 Careiro";99
"130115 Careiro da Várzea";3
"130120 Coari";16
"130130 Codajás";8
"130140 Eirunepé";9
"130160 Fonte Boa";16
"130165 Guajará";1
"130170 Humaitá";8
"130180 Ipixuna";7
"130185 Iranduba";8
"130190 Itacoatiara";29
"130195 Itamarati";1
"130200 Itapiranga";1
"130210 Japurá";2
"130230 Jutaí";7
"130240 Lábrea";2
"130250 Manacapuru";27
"130255 Manaquiri";2
"130260 Manaus";670
"130270 Manicoré";4
"130280 Maraã";1
"130290 Maués";10
"130300 Nhamundá";5
"130310 Nova Olinda do Norte";2
"130320 Novo Airão";4
"130330 Novo Aripuanã";2
"130340 Parintins";83
"130353 Presidente Figueiredo";4
"130356 Rio Preto da Eva";4
"130360 Santa Isabel do Rio Negro";2
"130380 São Gabriel da Cachoeira";14
"130390 São Paulo de Olivença";4
"130400 Silves";3
"130406 Tabatinga";18
"130410 Tapauá";2
"130420 Tefé";37
"130423 Tonantins";1
"130430 Urucará";2
"140005 Alto Alegre";7
"140002 Amajari";5
"140010 Boa Vista";223
"140015 Bonfim";7
"140017 Cantá";13
"140020 Caracaraí";2
"140023 Caroebe";2
"140028 Iracema";11
"140030 Mucajaí";7
"140040 Normandia";1
"140045 Pacaraima";5
"140047 Rorainópolis";13
"140060 São Luiz";1
"150010 Abaetetuba";42
"150013 Abel Figueiredo";16
"150020 Acará";11
"150030 Afuá";1
"150034 Água Azul do Norte";30
"150040 Alenquer";37
"150050 Almeirim";17
"150060 Altamira";108
"150070 Anajás";2
"150080 Ananindeua";170
"150085 Anapu";78
"150090 Augusto Corrêa";6
"150095 Aurora do Pará";6
"150100 Aveiro";2
"150110 Bagre";6
"150120 Baião";24
"150125 Bannach";5
"150130 Barcarena";28
"150140 Belém";417
"150145 Belterra";21
"150150 Benevides";26
"150157 Bom Jesus do Tocantins";26
"150160 Bonito";2
"150170 Bragança";37
"150172 Brasil Novo";36
"150178 Breu Branco";22
"150180 Breves";68
"150190 Bujaru";9
"150200 Cachoeira do Arari";17
"150195 Cachoeira do Piriá";2
"150210 Cametá";37
"150215 Canaã dos Carajás";40
"150220 Capanema";26
"150230 Capitão Poço";39
"150240 Castanhal";67
"150250 Chaves";1
"150260 Colares";1
"150270 Conceição do Araguaia";25
"150275 Concórdia do Pará";5
"150276 Cumaru do Norte";19
"150277 Curionópolis";17
"150280 Curralinho";27
"150285 Curuá";3
"150290 Curuçá";18
"150293 Dom Eliseu";25
"150295 Eldorado do Carajás";12
"150300 Faro";3
"150304 Floresta do Araguaia";30
"150307 Garrafão do Norte";16
"150309 Goianésia do Pará";8
"150310 Gurupá";2
"150320 Igarapé-Açu";23
"150330 Igarapé-Miri";18
"150340 Inhangapi";3
"150345 Ipixuna do Pará";41
"150350 Irituia";8
"150360 Itaituba";222
"150370 Itupiranga";21
"150375 Jacareacanga";14
"150380 Jacundá";36
"150390 Juruti";13
"150400 Limoeiro do Ajuru";7
"150405 Mãe do Rio";24
"150410 Magalhães Barata";5
"150420 Marabá";167
"150430 Maracanã";11
"150440 Marapanim";7
"150442 Marituba";41
"150445 Medicilândia";67
"150450 Melgaço";10
"150460 Mocajuba";9
"150470 Moju";27
"150475 Mojuí dos Campos";8
"150480 Monte Alegre";93
"150490 Muaná";86
"150495 Nova Esperança do Piriá";21
"150497 Nova Ipixuna";11
"150500 Nova Timboteua";4
"150503 Novo Progresso";62
"150506 Novo Repartimento";27
"150510 Óbidos";29
"150520 Oeiras do Pará";1
"150530 Oriximiná";52
"150540 Ourém";13
"150543 Ourilândia do Norte";43
"150548 Pacajá";37
"150549 Palestina do Pará";2
"150550 Paragominas";61
"150553 Parauapebas";120
"150555 Pau D'Arco";8
"150560 Peixe-Boi";5
"150563 Piçarra";36
"150565 Placas";68
"150570 Ponta de Pedras";6
"150580 Portel";18
"150590 Porto de Moz";31
"150600 Prainha";11
"150610 Primavera";4
