,SUICIDES,MUNCOD,MUNNOME,LATITUDE,LONGITUDE
0,3,110001,Alta Floresta D'Oeste,-11.929,-61.996
1,10,110002,Ariquemes,-9.913,-63.041
2,14,110004,Cacoal,-11.438,-61.448
3,1,110005,Cerejeiras,-13.189,-60.812
4,2,110006,Colorado do Oeste,-13.117,-60.542
5,2,110009,Espigão D'Oeste,-11.525,-61.013
6,5,110010,Guajará-Mirim,-10.783,-65.339
7,3,110011,Jaru,-10.439,-62.466
8,3,110012,Ji-Paraná,-10.882,-61.944
9,1,110014,Nova Brasilândia D'Oeste,-11.725,-62.331
10,3,110015,Ouro Preto do Oeste,-10.716,-62.248
11,4,110018,Pimenta Bueno,-11.673,-61.193
12,36,110020,Porto Velho,-8.762,-63.904
13,1,110025,Presidente Médici,-11.176,-61.901
14,6,110028,Rolim de Moura,-11.733,-61.778
15,6,110030,Vilhena,-12.741,-60.146
16,2,110033,Nova Mamoré,-10.411,-65.331
17,1,110037,Alto Alegre dos Parecis,-12.128,-61.851
18,1,110040,Alto Paraíso,-9.713,-63.321
19,1,110050,Novo Horizonte do Oeste,-11.71,-62.0
20,1,110060,Cacaulândia,-10.34,-62.896
21,2,110070,Campo Novo de Rondônia,-10.571,-63.627
22,2,110080,Candeias do Jamari,-8.791,-63.701
23,1,110092,Chupinguaia,-12.552,-60.9
24,1,110094,Cujubim,-9.363,-62.585
25,1,110149,São Francisco do Guaporé,-12.062,-63.569
26,1,110160,Theobroma,-10.244,-62.355
27,2,120013,Bujari,-9.831,-67.952
28,6,120020,Cruzeiro do Sul,-7.631,-72.67
29,2,120025,Epitaciolândia,-11.029,-68.741
30,4,120030,Feijó,-8.164,-70.354
31,1,120033,Mâncio Lima,-7.614,-72.896
32,5,120034,Manoel Urbano,-8.839,-69.26
33,29,120040,Rio Branco,-9.975,-67.81
34,1,120045,Senador Guiomard,-10.151,-67.736
35,6,120050,Sena Madureira,-9.066,-68.657
36,4,120060,Tarauacá,-8.161,-70.766
37,3,120070,Xapuri,-10.652,-68.504
38,1,120080,Porto Acre,-9.588,-67.533
39,1,130002,Alvarães,-3.221,-64.804
40,4,130006,Amaturá,-3.364,-68.198
41,2,130014,Apuí,-7.197,-59.891
42,4,130020,Atalaia do Norte,-4.372,-70.192
43,2,130040,Barcelos,-0.975,-62.924
44,1,130050,Barreirinha,-2.793,-57.07
45,10,130060,Benjamin Constant,-4.383,-70.031
46,1,130068,Boa Vista do Ramos,-2.97,-57.59
47,2,130070,Boca do Acre,-8.752,-67.398
48,2,130100,Carauari,-4.883,-66.896
49,1,130115,Careiro da Várzea,-3.221,-59.826
50,1,130120,Coari,-4.085,-63.141
51,7,130140,Eirunepé,-6.66,-69.874
52,2,130150,Envira,-7.433,-70.023
53,1,130160,Fonte Boa,-2.514,-66.092
54,2,130170,Humaitá,-7.506,-63.021
55,2,130180,Ipixuna,-7.051,-71.695
56,2,130185,Iranduba,-3.285,-60.186
57,2,130190,Itacoatiara,-3.143,-58.444
58,2,130195,Itamarati,-6.425,-68.253
59,1,130210,Japurá,-1.826,-66.599
60,1,130220,Juruá,-3.481,-66.069
61,2,130230,Jutaí,-2.747,-66.767
62,2,130240,Lábrea,-7.259,-64.798
63,3,130250,Manacapuru,-3.3,-60.621
64,90,130260,Manaus,-3.102,-60.025
65,1,130290,Maués,-3.384,-57.719
66,2,130310,Nova Olinda do Norte,-3.888,-59.094
67,5,130340,Parintins,-2.628,-56.736
68,1,130353,Presidente Figueiredo,-2.034,-60.025
69,1,130360,Santa Isabel do Rio Negro,-0.414,-65.019
70,6,130370,Santo Antônio do Içá,-3.102,-67.94
71,20,130380,São Gabriel da Cachoeira,-0.13,-67.089
72,1,130390,São Paulo de Olivença,-3.378,-68.873
73,14,130406,Tabatinga,-4.253,-69.938
74,2,130410,Tapauá,-5.628,-63.183
75,3,130420,Tefé,-3.354,-64.711
76,1,130430,Urucará,-2.536,-57.76
77,5,140002,Amajari,3.652,-61.371
78,3,140005,Alto Alegre,2.98,-61.292
79,24,140010,Boa Vista,2.82,-60.673
80,4,140015,Bonfim,3.36,-59.833
81,2,140017,Cantá,2.61,-60.597
82,5,140030,Mucajaí,2.43,-60.9
83,2,140045,Pacaraima,4.431,-61.146
84,1,140047,Rorainópolis,0.946,-60.418
85,2,140060,São Luiz,1.005,-60.159
86,2,140070,Uiramutã,4.596,-60.168
87,3,150010,Abaetetuba,-1.718,-48.883
88,1,150040,Alenquer,-1.942,-54.738
89,3,150050,Almeirim,-1.523,-52.582
90,16,150060,Altamira,-3.203,-52.206
91,13,150080,Ananindeua,-1.366,-48.372
92,1,150090,Augusto Corrêa,-1.022,-46.645
93,1,150095,Aurora do Pará,-2.134,-47.563
94,1,150120,Baião,-2.791,-49.672
95,3,150130,Barcarena,-1.506,-48.626
96,41,150140,Belém,-1.456,-48.504
97,1,150145,Belterra,-2.636,-54.937
98,3,150170,Bragança,-1.063,-46.773
99,2,150172,Brasil Novo,-3.262,-52.668
100,2,150178,Breu Branco,-4.009,-49.461
101,6,150180,Breves,-1.682,-50.48
102,1,150195,Cachoeira do Piriá,-1.671,-46.529
103,6,150210,Cametá,-2.244,-49.496
104,2,150215,Canaã dos Carajás,-6.497,-49.878
105,1,150220,Capanema,-1.196,-47.181
106,11,150240,Castanhal,-1.297,-47.922
107,3,150270,Conceição do Araguaia,-8.258,-49.265
108,1,150280,Curralinho,-1.814,-49.795
109,1,150285,Curuá,-1.888,-55.117
110,2,150293,Dom Eliseu,-4.285,-47.505
111,3,150295,Eldorado dos Carajás,-6.104,-49.355
112,2,150304,Floresta do Araguaia,-7.554,-49.713
113,2,150320,Igarapé-Açu,-1.127,-47.618
114,1,150345,Ipixuna do Pará,-2.558,-47.494
115,1,150350,Irituia,-1.769,-47.439
116,13,150360,Itaituba,-4.276,-55.984
117,1,150375,Jacareacanga,-6.224,-57.754
118,2,150380,Jacundá,-4.451,-49.116
119,3,150390,Juruti,-2.152,-56.092
120,1,150405,Mãe do Rio,-2.06,-47.553
121,21,150420,Marabá,-5.369,-49.118
122,2,150440,Marapanim,-0.714,-47.694
123,5,150442,Marituba,-1.355,-48.342
124,3,150460,Mocajuba,-2.584,-49.507
125,1,150470,Moju,-1.884,-48.769
126,3,150480,Monte Alegre,-2.008,-54.069
127,4,150495,Nova Esperança do Piriá,-2.269,-46.966
128,1,150500,Nova Timboteua,-1.206,-47.386
