CODMUNRES,SUICIDES
110001,3
110002,10
110004,5
110005,1
110006,2
110009,3
110010,4
110011,5
110012,5
110013,1
110014,1
110015,3
110018,5
110020,32
110025,1
110028,6
110030,5
110032,1
110033,2
110037,1
110040,1
110045,1
110050,2
110060,1
110070,2
110080,2
110092,1
110094,1
110130,1
110140,1
110149,1
110155,1
110160,1
110170,1
120013,2
120020,6
120025,2
120030,4
120033,1
120034,5
120040,31
120050,4
120060,4
120070,4
120080,1
130002,1
130006,4
130014,2
130020,4
130040,2
130050,1
130060,10
130068,1
130070,2
130100,2
130120,2
130140,7
130150,2
130160,1
130170,2
130180,2
130185,1
130190,3
130195,2
130210,1
130220,1
130230,2
130240,2
130250,3
130260,89
130290,2
130310,2
130340,5
130353,1
130360,1
130370,6
130380,20
130390,1
130406,14
130410,2
130420,3
130430,1
140002,5
140005,3
140010,24
140015,4
140017,3
140030,4
140045,2
140047,1
140060,2
140070,2
150000,1
150010,2
150020,1
150040,1
150050,3
150060,10
150080,14
150090,1
150095,1
150120,1
150130,4
150140,41
150145,1
150150,1
150157,1
150170,2
150172,4
150178,2
150180,6
150195,1
150210,6
150215,2
150220,2
150240,11
150270,3
150277,1
150280,1
150293,2
150295,4
150304,2
150309,1
150320,2
150345,1
150350,1
150360,13
150375,1
150380,4
150390,3
150405,1
150420,17
150440,2
150442,3
150445,1
150460,3
150470,1
150480,4
150495,4
150500,1
150503,3
150506,3
150510,1
150520,3
150530,1
150543,1
150548,1
150549,1
150550,2
150553,10
150560,1
150565,1
150580,1
150613,3
150616,2
150618,1
150650,5
150660,2
150670,1
150680,22
150710,2
150715,1
150720,1
150730,4
150740,3
150745,1
150747,1
150760,3
150775,1
150795,5
150797,1
150803,2
150805,1
150808,1
150810,3
150812,2
150815,5
150820,2
150830,1
150835,1
160015,3
160027,2
160030,31
160040,2
160050,1
160053,1
160060,6
170000,1
170070,1
170100,3
170110,2
170130,2
170200,1
170210,14
170240,2
170290,1
170610,3
170650,1
170700,3
170710,2
170730,1
170740,1
170820,2
170830,3
170900,1
170930,2
170950,7
171050,1
171070,1
171190,2
171195,1
171250,1
171320,1
171330,1
171360,1
171395,1
171420,2
171510,1
171515,1
171575,2
171610,8
171620,1
171630,1
171650,2
171660,2
171670,1
171700,1
171750,3
171820,1
171875,2
171884,1
171890,2
172000,1
172025,1
172030,1
172049,1
172100,14
172120,2
172208,1
210005,3
210030,1
210043,1
210050,1
210070,2
210080,1
210095,2
210120,3
210125,1
210130,1
210140,3
210150,4
210160,6
210180,1
210200,2
210203,1
210207,1
210210,3
210215,1
210220,2
210230,4
210232,1
210240,1
210250,1
210255,1
210275,1
210280,2
210290,1
210300,11
210310,1
210312,2
210320,1
210330,6
210340,1
210350,1
210360,3
210370,1
210375,2
210380,2
210400,3
210405,1
210407,2
210409,2
210420,1
210440,1
210455,1
210465,1
210467,1
210480,6
210520,1
210530,20
210535,2
210540,3
210542,3
210545,1
210547,2
210560,3
210570,2
210580,1
210590,1
210594,1
210637,2
210650,1
210660,2
210670,1
210675,1
210700,3
210730,1
210735,2
210740,3
210745,1
210750,5
210760,2
210770,5
210780,1
210800,1
210820,6
210825,2
210850,2
210860,2
210870,1
210880,1
210923,2
210927,2
210930,1
210945,2
210950,4
210955,2
210960,2
210970,2
210980,4
210990,4
211000,2
211003,1
211020,1
211050,1
211060,2
211070,3
211080,1
211100,2
211105,1
211107,1
211110,4
211120,6
211130,38
211140,3
211150,2
211170,1
211176,1
211180,1
211210,1
211220,10
211223,2
211227,1
211230,1
211240,2
211260,2
211270,1
211280,1
211285,1
211290,3
211300,5
211400,5
220010,1
220020,1
220025,1
220030,2
220040,6
220045,1
220050,6
220090,1
220110,2
220115,1
220120,2
220130,1
220150,1
220155,2
220170,1
220177,1
220190,1
220198,1
220200,1
220202,1
220210,1
220211,1
220217,1
220220,14
220225,1
220230,4
220245,1
220253,1
220260,4
220273,1
220280,1
220285,1
220290,2
220300,1
220320,1
220325,1
220327,1
220340,1
220345,1
220350,1
220360,1
220370,8
220375,1
220390,6
220430,1
220455,1
220460,1
220465,1
220470,5
220480,1
220490,4
220520,1
220525,1
220527,1
220530,1
220540,1
220550,5
220556,2
220558,1
220580,2
220595,1
220600,1
220620,2
220630,1
220640,1
220650,2
220660,2
220672,2
220680,1
220700,3
220720,1
220730,1
220750,1
220760,1
220770,7
220780,2
220785,1
220790,7
220793,1
220795,2
220800,18
220810,1
220820,1
220830,3
220840,7
220865,3
220870,1
220900,1
220910,2
220920,3
220935,3
220940,1
220975,1
220980,2
220987,1
220990,2
220995,1
220997,1
221000,2
221005,1
221020,3
221030,1
221035,1
221040,3
221050,2
221060,6
221062,1
221070,1
221090,1
221093,1
221100,76
221110,1
221120,3
221130,2
221150,1
230020,9
230030,2
230040,2
230060,1
230075,2
230080,1
230090,3
230100,4
230110,4
230130,1
230160,3
230170,2
230185,1
230190,8
230195,2
230200,3
230205,4
230220,1
230230,1
230240,4
230250,2
230260,3
230280,13
230290,1
230300,1
230320,3
230330,1
230350,3
230365,2
230370,22
230380,1
230390,2
230393,1
230395,3
230400,1
230410,7
230420,5
230423,3
230425,2
230426,3
230427,1
230428,5
230430,1
230440,145
230445,3
230450,2
230470,9
230490,2
230495,1
230500,5
230520,3
230523,10
230526,1
230530,2
230533,3
230535,2
230540,6
230550,5
230560,3
230570,1
230580,6
230590,2
230600,1
230610,2
230620,2
230625,3
230630,6
230640,6
230655,3
230660,2
230670,1
230680,1
230690,3
230700,1
230710,1
230725,1
230730,20
230740,1
230750,1
230760,6
230763,3
230765,21
230770,7
230780,1
230790,1
230800,4
230810,6
230820,1
230830,1
230835,1
230837,1
230840,5
230850,2
230860,1
230870,4
230890,1
230900,1
230910,2
230930,1
230940,5
230945,1
230950,1
230960,3
230970,2
231000,4
231010,2
231020,4
231030,6
231040,1
231050,1
231060,1
231070,5
231080,7
231085,2
231095,1
231110,1
231123,1
231126,3
231130,6
231135,2
231140,8
231150,3
231160,2
231170,2
231180,3
231190,1
231195,3
231200,2
231210,3
231220,3
231230,4
231240,4
231250,1
231260,2
231270,7
231290,16
231300,1
231310,1
231320,4
231330,8
231340,4
231350,5
231355,1
231360,1
231375,1
231380,1
231390,3
231395,1
231400,1
231410,9
240020,2
240040,1
240060,1
240080,1
240100,6
240110,1
240120,1
240130,3
240145,1
240200,9
240230,7
240260,3
240280,1
240310,2
240325,13
240350,1
240360,1
240380,3
240390,1
240410,1
240430,1
240440,1
240450,1
240470,1
240480,1
240500,1
240520,1
240570,1
240600,2
240610,2
240615,1
240620,1
240650,1
240670,1
240700,1
240710,3
240720,3
240725,3
240730,1
240760,1
240790,1
240800,18
240810,28
240820,1
240880,1
240890,3
240895,1
240910,1
240920,1
240930,4
240940,5
241020,1
241040,1
241105,1
241120,2
241190,1
241200,4
241210,1
241220,4
241250,3
241270,1
241330,1
241340,2
241355,2
241400,1
241410,1
241415,1
241450,1
241490,1
250010,1
250030,2
250060,2
250073,1
250080,2
250100,3
250110,4
250130,2
250135,1
250140,1
250150,1
250157,1
250180,4
250190,1
250200,1
250205,1
250210,1
250220,1
250240,2
250320,4
250330,2
250355,1
250370,4
250375,1
250380,2
250390,2
250400,19
250430,3
250440,1
250450,2
250460,5
250500,2
250523,3
250527,1
250530,1
250540,2
250580,1
250590,1
250600,5
250620,1
250630,4
250640,1
250650,2
250660,1
250690,2
250700,2
250710,2
250740,1
250750,34
250760,2
250770,3
250810,1
250880,2
250890,2
250910,3
250940,1
250970,3
251010,1
251020,4
251080,16
251090,1
251100,2
251110,1
251120,1
251130,2
251150,1
251170,1
251210,3
251220,1
251250,3
251270,3
251275,1
251300,1
251330,1
251335,2
251390,3
251398,2
251400,2
251430,2
251440,1
251450,4
251510,1
251530,7
251550,1
251560,1
251590,1
251600,3
251610,1
251620,7
251640,2
251650,2
251660,3
251670,1
260000,5
260005,4
260010,1
260020,2
260050,6
260060,1
260070,3
260090,2
260105,1
260110,5
260120,2
260160,4
260170,6
260180,1
260190,4
260200,4
260210,3
260220,1
260230,4
260260,1
260270,3
260280,4
260290,10
260300,3
260310,2
260340,1
260345,11
260360,1
260370,1
260390,1
260400,2
260410,12
260415,1
260420,1
260430,3
260450,1
260460,1
260480,1
260490,1
260510,1
260520,2
260530,1
260550,2
260560,4
260570,1
260600,8
260620,2
260640,6
260650,2
260660,1
260680,2
260720,5
260730,1
260750,2
260765,2
260770,3
260790,29
260795,2
260805,4
260810,3
260820,2
260830,2
260840,2
260860,2
260870,1
260875,2
260880,2
260890,3
260900,5
260920,1
260940,3
260960,19
260990,6
261000,5
261030,1
261050,2
261060,1
261070,14
261090,3
261100,1
261110,16
261130,1
261160,70
261180,1
261210,1
261220,5
261240,2
261250,2
261255,1
261260,5
261290,1
261300,3
261310,1
261320,1
261350,5
261360,3
261370,4
261380,1
261390,5
261410,4
261420,2
261430,1
261450,2
261460,2
261500,1
261510,2
261530,2
261540,1
261560,1
261580,1
261590,1
261610,2
261630,1
261640,7
270030,12
270060,1
270070,1
270080,1
270130,1
270140,2
270150,2
270230,2
270240,2
270250,1
270255,1
270260,1
270280,1
270290,5
270330,1
270400,3
270410,2
270430,23
270440,3
270460,1
270470,2
270510,1
270570,1
270580,1
270600,1
270630,4
270644,2
270670,2
270710,2
270750,1
270760,1
270770,3
270800,3
270840,1
270850,1
270860,3
270880,2
270890,1
270915,1
270930,4
270940,1
280020,4
280030,32
280050,1
280060,1
280067,2
280100,2
280120,2
280130,3
280140,2
280210,3
280260,1
280270,1
280290,10
280300,1
280320,1
280330,1
280340,2
280350,10
280360,2
280370,2
280380,1
280390,1
280430,1
280445,1
280450,3
280460,2
280470,1
280480,4
280490,3
280530,1
280540,4
280550,2
280560,2
280570,1
280620,1
280670,4
280680,2
280710,6
280740,3
280760,1
290000,1
290010,2
290020,1
290030,1
290035,1
290050,1
290070,13
290100,4
290110,1
290120,1
290130,2
290140,1
290190,1
290200,4
290210,1
290260,1
290270,1
290280,2
290290,1
290320,6
290323,3
290327,2
290330,1
290360,2
290370,1
290380,2
290390,5
290410,1
290420,1
290430,1
290440,1
290450,2
290460,1
290475,3
290490,2
290510,1
290520,3
290530,1
290540,1
290560,1
290570,7
290580,1
290590,4
290600,2
290610,2
290620,1
290630,1
290640,1
290650,3
290660,1
290670,2
290682,1
290687,3
290690,1
290710,4
290720,3
290730,2
290750,3
290755,1
290760,2
290790,1
290800,2
290830,1
290840,2
290850,1
290860,1
290910,4
290930,2
290940,2
290950,1
290960,1
290980,5
290990,3
291005,5
291010,1
291040,1
291050,1
291060,1
291070,5
291072,6
291075,1
291080,10
291085,2
291100,1
291110,2
291160,2
291170,8
291180,1
291190,2
291220,2
291250,2
291270,1
291290,1
291300,2
291310,3
291350,2
291360,5
291400,4
291410,1
291440,1
291460,4
291470,4
291480,14
291500,2
291510,1
291520,1
291530,1
291535,2
291550,1
291560,2
291580,2
291600,1
291610,1
291620,1
291630,1
291640,2
291650,1
291670,1
291680,1
291685,1
291690,1
291700,1
291750,6
291760,3
291770,2
291780,1
291800,8
291810,3
291820,1
291830,1
291840,13
291870,1
291880,1
291900,1
291905,1
291915,2
291920,5
291930,2
291950,2
291980,3
292010,2
292040,1
292050,1
292060,4
292100,1
292110,1
292120,3
292130,2
292140,1
292150,1
292200,2
292225,1
292230,2
292240,4
292260,1
292280,1
292303,2
292305,1
292320,2
292330,1
292340,5
292360,1
292370,1
292390,1
292400,4
292405,1
292420,1
292430,2
292440,1
292450,1
292460,1
292490,1
292500,1
292510,2
292520,1
292525,1
292530,4
292550,1
292560,1
292570,1
292575,1
292590,1
292593,2
292600,7
292620,2
292630,1
292640,2
292650,1
292660,1
292670,1
292700,2
292720,1
292730,1
292740,74
292750,1
292760,2
292770,2
292800,2
292805,2
292810,1
292820,3
292840,1
292870,6
292880,1
292890,1
292900,2
292905,1
292910,2
292925,1
292930,1
292937,1
292940,1
292950,4
292960,1
292970,2
292975,1
292990,3
293010,7
293015,2
293020,2
293050,2
293060,1
293070,5
293076,2
293080,1
293105,1
293135,2
293170,1
293180,1
293200,1
293220,1
293230,1
293240,1
293245,1
293250,1
293280,1
293290,2
293300,2
293305,1
293315,1
293320,3
293325,1
293330,21
293360,6
310000,1
310010,3
310020,3
310040,1
310050,1
310060,3
310090,1
310130,1
310150,1
310160,14
310163,1
310200,3
310210,2
310260,7
310270,1
310290,1
310340,1
310350,2
310360,1
310370,2
310400,7
310420,6
310430,2
310440,1
310450,1
310480,1
310490,1
310500,2
310510,6
310520,1
310530,2
310540,1
310560,11
310570,1
310600,1
310620,166
310630,1
310650,2
310670,12
310710,1
310740,4
310750,4
310780,1
310800,1
310825,1
310840,1
310860,3
310880,1
310890,1
310910,1
310920,1
310925,1
310930,3
310950,3
310960,1
310970,2
310990,1
311000,1
311030,3
311040,1
311050,1
311060,5
311070,1
311100,3
311110,1
311120,4
311130,2
311150,2
311160,1
311200,1
311210,1
311250,1
311260,1
311280,2
311290,1
311320,1
311330,1
311340,8
311350,1
311360,1
311380,1
311410,3
311420,6
311430,8
311450,2
311455,1
311460,3
311480,1
311530,7
311545,1
311547,1
311550,1
311570,1
311580,3
311615,1
311630,2
311660,4
311670,1
311730,2
311760,1
311770,2
311790,2
311800,3
311810,2
311820,2
311830,8
311860,31
311880,2
311910,2
311920,1
311930,4
311940,7
311960,2
312020,2
312030,1
312040,1
312050,1
312070,1
312080,4
312090,8
312110,2
312140,4
312160,1
312190,1
312200,2
312210,2
312220,1
312230,20
312235,1
312247,1
312260,1
312290,1
312320,4
312330,2
312340,1
312352,2
312360,7
312390,1
312400,3
312410,3
312430,1
312450,2
312470,1
312490,2
312510,1
312540,1
312570,1
312595,1
312610,12
312650,1
312670,3
312710,3
312733,4
312738,3
312740,1
312760,2
312770,17
312790,1
312800,6
312810,1
312830,2
312840,1
312850,1
312860,1
312870,4
312950,3
312980,9
313020,3
313030,1
313050,3
313090,1
313100,1
313110,1
313115,1
313120,3
313130,16
313160,1
313170,10
313190,5
313200,1
313210,1
313220,1
313230,1
313240,11
313290,1
313300,2
313310,1
313350,8
313360,2
313370,1
313380,18
313410,1
313420,5
313440,2
313450,1
313460,3
313470,1
313480,1
313490,2
313505,1
313510,5
313520,7
313530,2
313540,1
313545,1
313550,2
313570,2
313590,1
313600,1
313610,2
313620,1
313630,6
313655,1
313660,1
313670,27
313695,1
313700,1
313720,1
313730,1
313740,3
313750,4
313753,1
313760,1
313770,1
313780,3
313820,8
313830,1
313840,3
313850,1
313860,2
313862,2
313867,1
313870,3
313880,1
313890,1
313900,2
313910,2
313920,1
