ANO,CODMUNRES,SUICIDES
2015,110001,3
2015,110002,5
2015,110003,2
2015,110004,6
2015,110005,2
2015,110006,2
2015,110008,1
2015,110010,10
2015,110011,2
2015,110012,1
2015,110018,1
2015,110020,41
2015,110028,5
2015,110029,2
2015,110030,4
2015,110032,1
2015,110033,3
2015,110034,1
2015,110045,1
2015,110070,1
2015,110080,5
2015,110110,1
2015,110120,2
2015,110146,1
2015,110148,2
2015,110150,2
2015,110160,2
2015,120010,1
2015,120013,1
2015,120020,2
2015,120025,1
2015,120030,6
2015,120032,1
2015,120033,1
2015,120034,2
2015,120038,1
2015,120040,17
2015,120045,1
2015,120050,2
2015,120060,1
2015,120080,2
2015,130006,2
2015,130008,1
2015,130014,2
2015,130030,2
2015,130040,2
2015,130050,5
2015,130060,7
2015,130063,1
2015,130080,1
2015,130120,3
2015,130130,2
2015,130140,11
2015,130150,2
2015,130160,1
2015,130170,2
2015,130185,2
2015,130190,11
2015,130200,1
2015,130220,1
2015,130230,2
2015,130250,8
2015,130255,1
2015,130260,126
2015,130270,1
2015,130280,2
2015,130290,2
2015,130300,1
2015,130330,1
2015,130340,11
2015,130356,2
2015,130360,1
2015,130370,2
2015,130380,13
2015,130390,10
2015,130406,15
2015,130410,3
2015,130420,2
2015,130430,1
2015,140002,4
2015,140005,3
2015,140010,26
2015,140015,4
2015,140017,5
2015,140020,3
2015,140028,1
2015,140045,1
2015,140047,2
2015,140050,1
2015,140060,1
2015,140070,1
2015,150030,1
2015,150050,1
2015,150060,3
2015,150070,1
2015,150080,9
2015,150085,1
2015,150090,5
2015,150095,1
2015,150120,2
2015,150130,5
2015,150140,42
2015,150145,1
2015,150170,6
2015,150180,1
2015,150200,1
2015,150210,2
2015,150215,2
2015,150220,1
2015,150230,2
2015,150240,4
2015,150260,1
2015,150270,5
2015,150275,1
2015,150276,1
2015,150277,1
2015,150285,1
2015,150290,2
2015,150293,2
2015,150304,3
2015,150307,1
2015,150309,4
2015,150310,1
2015,150320,1
2015,150330,1
2015,150340,1
2015,150350,1
2015,150360,10
2015,150370,2
2015,150375,1
2015,150380,1
2015,150405,1
2015,150420,10
2015,150430,1
2015,150440,2
2015,150442,2
2015,150445,1
2015,150460,1
2015,150470,3
2015,150475,1
2015,150480,1
2015,150497,2
2015,150503,2
2015,150506,6
2015,150510,3
2015,150520,1
2015,150530,2
2015,150543,1
2015,150548,3
