,2015,2016,2017,MUNCOD
0,75,92,101,110001
1,2,4,2,110037
2,10,10,14,110040
3,11,8,19,110034
4,71,68,105,110002
5,22,19,20,110045
6,1,7,1,110003
7,1,2,1,110060
8,74,71,58,110004
9,5,7,13,110070
10,6,12,10,110080
11,5,2,4,110090
12,35,22,25,110005
13,5,1,2,110092
14,22,9,28,110006
15,3,3,6,110007
16,5,17,21,110008
17,4,0,8,110094
18,40,32,30,110009
19,6,9,1,110100
20,63,79,103,110010
21,3,1,0,110110
22,25,19,26,110011
23,28,94,106,110012
24,22,4,11,110013
25,8,15,11,110120
26,13,10,14,110130
27,3,1,3,110140
28,4,18,22,110014
29,18,25,30,110033
30,3,3,5,110143
31,26,20,30,110050
32,73,51,50,110015
33,7,9,5,110145
34,70,49,81,110018
35,0,2,0,110146
36,154,153,149,110020
37,23,25,16,110025
38,9,5,4,110147
39,8,1,1,110026
40,80,91,100,110028
41,29,25,11,110029
42,3,2,8,110148
43,18,12,9,110149
44,34,21,30,110032
45,2,3,5,110150
46,1,4,3,110155
47,2,5,6,110160
48,8,18,16,110170
49,1,3,5,110175
50,10,8,9,110180
51,60,56,66,110030
52,4,5,3,120001
53,1,1,2,120005
54,18,40,20,120010
55,1,2,0,120013
56,3,6,0,120017
57,4,7,10,120020
58,11,17,12,120025
59,3,0,5,120030
60,19,25,9,120033
61,22,25,20,120034
62,0,1,0,120035
63,9,13,18,120038
64,7,0,3,120080
65,5,4,2,120039
66,144,166,118,120040
67,6,0,3,120042
68,2,8,2,120043
69,126,231,160,120050
70,34,13,11,120045
71,38,66,50,120060
72,17,17,28,120070
73,5,18,3,130002
74,3,2,0,130008
75,0,0,2,130010
76,25,35,17,130014
77,0,2,0,130020
78,5,6,0,130030
79,1,8,6,130040
80,7,7,5,130050
81,1,1,3,130060
82,1,1,1,130063
83,31,19,37,130070
84,19,19,21,130080
85,0,3,6,130083
86,5,4,4,130100
87,2,5,4,130110
88,2,0,0,130115
89,16,21,6,130120
90,21,39,70,130130
91,2,1,11,130140
92,3,19,4,130150
93,2,10,6,130160
94,12,14,2,130165
95,26,19,28,130170
96,10,12,16,130180
97,0,2,2,130185
98,30,41,28,130190
99,0,3,1,130195
100,0,0,1,130210
101,1,0,1,130220
102,0,1,1,130230
103,1,0,1,130240
104,7,8,8,130250
105,3,3,2,130255
106,295,304,276,130260
107,6,2,4,130270
108,1,0,0,130280
109,0,2,11,130290
110,0,2,1,130300
111,0,0,1,130310
112,0,0,1,130320
113,8,0,14,130330
114,7,14,16,130340
115,11,4,2,130350
116,1,0,3,130353
117,1,2,4,130356
118,1,1,0,130370
119,0,0,2,130380
120,1,0,0,130390
121,0,0,1,130395
122,7,4,2,130406
123,2,2,2,130410
124,6,23,11,130420
125,0,1,1,130426
126,0,0,1,130440
127,5,3,4,140005
128,0,4,6,140002
129,39,68,78,140010
130,0,1,2,140015
131,2,0,5,140017
132,4,2,3,140020
133,2,1,4,140030
134,1,2,0,140045
135,3,24,6,140047
136,0,4,7,140050
137,0,8,4,140060
138,371,94,51,150010
139,7,2,7,150013
140,6,9,17,150020
141,40,9,47,150030
142,7,11,3,150034
143,6,0,2,150040
144,7,11,4,150050
145,43,37,43,150060
146,24,13,9,150070
147,101,177,161,150080
148,7,6,3,150085
149,26,33,68,150090
150,21,23,32,150095
151,0,1,0,150100
152,2,1,2,150110
153,14,6,7,150120
154,12,22,16,150125
155,31,26,26,150130
156,203,158,145,150140
157,13,9,1,150145
158,6,5,2,150150
159,4,10,20,150157
160,0,5,1,150160
161,31,46,109,150170
162,7,13,42,150172
163,15,5,2,150175
164,9,11,5,150178
165,49,40,49,150180
166,5,8,4,150190
167,45,45,7,150200
168,2,1,0,150195
169,6,19,26,150210
170,4,6,13,150215
171,21,34,25,150220
172,4,57,105,150230
173,146,150,47,150240
174,2,1,0,150250
175,41,51,44,150270
176,2,7,5,150275
177,9,9,5,150276
178,26,12,23,150277
179,52,54,67,150280
180,6,1,2,150290
181,72,40,66,150293
182,20,27,39,150295
183,74,15,91,150304
184,3,11,25,150307
185,1,0,1,150309
186,11,12,8,150310
187,11,5,54,150320
188,14,16,66,150330
189,3,12,3,150340
190,36,77,23,150345
191,15,50,12,150350
192,222,176,134,150360
193,6,2,5,150370
194,18,10,6,150375
195,15,9,10,150380
196,1,0,1,150390
197,8,75,120,150400
198,33,15,18,150405
199,0,0,4,150410
200,16,11,28,150420
201,6,4,2,150430
202,5,1,4,150440
203,20,17,15,150442
204,4,6,9,150445
205,35,1,10,150450
206,9,18,11,150460
207,16,9,22,150470
208,0,1,0,150475
209,13,23,5,150480
210,44,116,279,150490
211,2,16,13,150495
212,0,1,0,150497
213,1,3,2,150500
214,26,35,49,150503
215,12,9,11,150506
216,9,7,8,150510
217,20,0,1,150520
218,13,9,21,150530
219,21,25,9,150540
220,41,61,39,150543
221,3,1,25,150548
222,0,2,7,150549
223,33,49,49,150550
224,7,21,25,150553
225,5,7,13,150555
226,5,11,1,150563
227,9,12,21,150565
228,15,2,4,150570
229,7,12,16,150580
230,3,8,23,150590
231,9,11,36,150600
232,1,2,1,150610
233,1,6,2,150611
234,79,98,44,150613
235,25,18,30,150616
236,262,62,97,150618
237,35,11,30,150619
238,12,21,13,150620
239,9,2,1,150630
240,1,0,2,150635
241,0,1,0,150640
242,7,5,8,150650
243,1,4,3,150655
244,2,1,3,150658
245,7,39,23,150660
246,32,39,33,150670
247,33,7,1,150680
248,3,0,3,150690
249,5,6,0,150700
250,4,1,0,150710
251,1,0,15,150715
252,1,7,7,150720
253,29,38,99,150730
254,5,8,2,150740
255,4,5,10,150745
256,2,0,0,150746
257,9,8,9,150747
258,0,2,3,150750
259,33,15,46,150760
260,30,7,39,150770
261,4,11,15,150775
262,3,9,19,150780
263,8,12,46,150790
264,4,5,7,150795
265,1,4,0,150796
266,6,4,5,150797
267,21,26,18,150800
268,55,58,39,150803
269,14,19,17,150805
270,58,84,173,150808
271,10,7,17,150810
272,47,30,43,150812
273,14,16,33,150815
274,110,220,95,150820
275,75,98,103,150830
276,3,10,6,150835
277,121,15,32,150840
278,1,0,4,160010
279,11,6,5,160020
280,1,0,0,160021
281,0,1,0,160023
282,24,35,34,160027
283,86,53,54,160030
284,3,2,0,160040
285,0,1,7,160050
286,0,0,6,160015
287,13,9,4,160053
288,13,13,21,160060
289,0,0,1,160005
290,0,2,0,160070
291,2,3,4,160080
292,2,0,2,170035
293,0,1,2,170040
294,14,7,20,170070
295,5,3,4,170100
296,1,1,1,170105
297,2,0,0,170110
298,3,0,0,170130
299,2,2,0,170190
300,12,16,17,170200
301,62,41,49,170210
302,2,0,1,170215
303,10,10,6,170220
304,14,7,17,170230
305,20,7,4,170240
306,24,9,3,170255
307,5,2,3,170290
308,0,3,1,170300
