,COUNTS,MUNCOD
0,42,110001
1,12,110037
2,14,110040
3,37,110034
4,83,110002
5,16,110045
6,15,110003
7,2,110060
8,134,110004
9,37,110070
10,13,110080
11,2,110090
12,38,110005
13,4,110092
14,35,110006
15,5,110007
16,24,110008
17,28,110094
18,107,110009
19,7,110100
20,34,110010
21,11,110110
22,96,110011
23,229,110012
24,65,110013
25,11,110120
26,9,110130
27,20,110140
28,32,110014
29,39,110033
30,5,110143
31,19,110050
32,84,110015
33,2,110145
34,147,110018
35,1,110146
36,136,110020
37,38,110025
38,12,110147
39,1,110026
40,92,110028
41,23,110029
42,6,110148
43,11,110149
44,44,110032
45,26,110150
46,4,110155
47,12,110160
48,18,110170
49,12,110175
50,9,110180
51,157,110030
52,5,120001
53,4,120005
54,33,120010
55,1,120013
56,5,120017
57,79,120020
58,28,120025
59,13,120030
60,9,120033
61,1,120034
62,2,120035
63,7,120038
64,1,120080
65,6,120039
66,178,120040
67,6,120042
68,1,120043
69,59,120050
70,14,120045
71,30,120060
72,15,120070
73,13,130002
74,4,130006
75,4,130008
76,17,130010
77,12,130014
78,2,130020
79,20,130030
80,6,130040
81,34,130050
82,1,130060
83,4,130063
84,31,130068
85,28,130070
86,79,130080
87,20,130083
88,3,130090
89,24,130100
90,13,130110
91,6,130115
92,29,130120
93,6,130130
94,11,130140
95,4,130150
96,5,130160
97,10,130165
98,21,130170
99,6,130180
100,53,130185
101,89,130190
102,1,130195
103,4,130200
104,6,130210
105,4,130230
106,5,130240
107,84,130250
108,6,130255
109,1789,130260
110,10,130270
111,3,130280
112,53,130290
113,4,130300
114,33,130310
115,18,130320
116,4,130330
117,87,130340
118,24,130350
119,30,130353
120,19,130356
121,2,130360
122,11,130370
123,8,130380
124,16,130390
125,16,130395
126,4,130400
127,25,130406
128,3,130410
129,50,130420
130,16,130426
131,14,130430
132,19,130440
133,16,140005
134,8,140002
135,385,140010
136,14,140015
137,16,140017
138,15,140020
139,21,140023
140,2,140028
141,22,140030
142,21,140040
143,16,140045
144,11,140047
145,11,140050
146,13,140060
147,4,140070
148,30,150010
149,4,150013
150,40,150020
151,14,150030
152,31,150034
153,83,150040
154,15,150050
155,66,150060
156,11,150070
157,464,150080
158,40,150085
159,128,150090
160,62,150095
161,1,150100
162,4,150110
163,34,150120
164,8,150125
165,61,150130
166,572,150140
167,19,150145
168,22,150150
169,32,150157
170,2,150160
171,119,150170
172,20,150172
173,10,150175
174,35,150178
175,55,150180
176,29,150190
177,13,150200
178,4,150195
179,65,150210
180,11,150215
181,31,150220
182,82,150230
183,59,150240
184,4,150250
185,4,150260
186,43,150270
187,27,150275
188,10,150276
189,49,150277
190,10,150280
191,4,150285
192,26,150290
193,57,150293
194,102,150295
195,2,150300
196,3,150304
197,32,150307
198,70,150309
199,12,150310
200,36,150320
201,83,150330
202,1,150340
203,70,150345
204,69,150350
