,COUNTS,MUNCOD
0,1,110001
1,2,110037
2,2,110040
3,2,110034
4,6,110002
5,3,110045
6,1,110003
7,1,110060
8,14,110004
9,2,110070
10,2,110080
11,3,110005
12,3,110092
13,1,110006
14,1,110007
15,1,110008
16,6,110094
17,7,110009
18,1,110010
19,1,110110
20,8,110011
21,13,110012
22,8,110013
23,1,110120
24,1,110130
25,1,110140
26,1,110014
27,1,110033
28,5,110050
29,31,110015
30,5,110145
31,27,110018
32,51,110020
33,1,110025
34,2,110147
35,2,110026
36,24,110028
37,2,110029
38,1,110148
39,1,110149
40,7,110032
41,1,110155
42,2,110160
43,1,110175
44,5,110180
45,36,110030
46,4,120010
47,1,120017
48,8,120020
49,1,120025
50,5,120030
51,2,120033
52,4,120034
53,5,120038
54,6,120039
55,15,120040
56,4,120042
57,23,120050
58,2,120045
59,8,120060
60,11,120070
61,3,130050
62,1,130070
63,2,130100
64,1,130120
65,1,130165
66,3,130180
67,1,130190
68,1,130250
69,33,130260
70,9,130290
71,2,130300
72,1,130310
73,2,130320
74,8,130340
75,1,130350
76,1,130356
77,1,130360
78,4,130370
79,4,130380
80,1,130390
81,5,130420
82,1,140002
83,13,140010
84,1,140015
85,1,140017
86,1,140028
87,1,140040
88,1,140050
89,7,150010
90,9,150020
91,6,150030
92,19,150040
93,5,150050
94,5,150060
95,14,150070
96,8,150080
97,5,150085
98,5,150090
99,2,150095
100,2,150100
101,2,150125
102,4,150130
103,47,150140
104,2,150150
105,1,150160
106,13,150170
107,12,150180
108,2,150200
109,1,150195
110,2,150210
111,1,150215
112,20,150220
113,8,150240
114,1,150270
115,2,150277
116,2,150290
117,2,150307
118,1,150309
119,12,150310
120,1,150320
121,1,150345
122,3,150360
123,2,150370
124,9,150375
125,1,150400
126,9,150405
127,1,150420
128,1,150430
129,2,150442
130,4,150450
131,1,150460
132,2,150470
133,1,150475
134,11,150480
135,15,150490
136,1,150500
137,2,150503
138,11,150506
139,18,150520
140,1,150530
141,1,150540
142,18,150548
143,1,150549
144,1,150550
145,9,150553
146,1,150555
147,10,150570
148,2,150611
149,1,150613
150,1,150619
151,1,150620
152,2,150650
153,1,150655
154,9,150660
155,9,150670
156,11,150680
157,1,150700
158,1,150715
159,1,150720
160,1,150730
161,2,150740
162,4,150760
163,2,150775
164,9,150780
165,7,150795
166,1,150800
167,7,150803
168,47,150805
169,2,150810
170,1,150820
171,34,150830
172,1,150840
173,1,160010
174,1,160020
175,13,160030
176,1,160060
177,1,170025
178,1,170030
179,2,170070
180,1,170100
181,1,170200
182,14,170210
183,1,170220
184,4,170230
185,1,170240
186,1,170270
187,1,170370
188,1,170550
189,1,171670
190,1,170555
191,1,170610
192,1,170700
193,1,170710
194,1,170765
195,1,170770
196,1,170820
197,1,170825
198,3,170930
199,4,170950
