,COUNTS,MUNCOD
0,103,110001
1,2,110037
2,8,110040
3,12,110034
4,65,110002
5,26,110045
6,8,110003
7,4,110060
8,66,110004
9,3,110070
10,6,110080
11,2,110090
12,27,110005
13,4,110092
14,27,110006
15,3,110007
16,24,110008
17,12,110094
18,46,110009
19,64,110010
20,1,110110
21,47,110011
22,99,110012
23,34,110013
24,10,110120
25,17,110130
26,5,110140
27,10,110014
28,13,110033
29,2,110143
30,17,110050
31,46,110015
32,4,110145
33,138,110018
34,116,110020
35,12,110025
36,9,110147
37,45,110028
38,28,110029
39,3,110148
40,5,110149
41,13,110032
42,2,110150
43,1,110155
44,6,110160
45,23,110170
46,3,110175
47,2,110180
48,69,110030
49,3,120001
50,1,120005
51,26,120010
52,1,120013
53,5,120017
54,30,120020
55,20,120025
56,4,120030
57,1,120032
58,10,120033
59,15,120034
60,4,120038
61,3,120080
62,1,120039
63,105,120040
64,6,120042
65,1,120043
66,189,120050
67,9,120045
68,67,120060
69,36,120070
70,1,130006
71,1,130010
72,8,130014
73,2,130020
74,1,130030
75,6,130040
76,19,130050
77,7,130060
78,1,130063
79,6,130068
80,39,130070
81,15,130080
82,7,130100
83,3,130110
84,1,130115
85,17,130120
86,19,130130
87,18,130140
88,5,130150
89,5,130165
90,25,130170
91,21,130180
92,5,130185
93,15,130190
94,1,130210
95,3,130230
96,4,130240
97,15,130250
98,3,130255
99,225,130260
100,6,130270
101,35,130290
102,1,130300
103,1,130310
104,5,130320
105,4,130330
106,15,130340
107,4,130350
108,3,130353
109,8,130356
110,1,130360
111,3,130380
112,1,130390
113,2,130395
114,1,130400
115,3,130406
116,12,130420
117,5,130426
118,3,130430
119,1,130440
120,2,140005
121,2,140002
122,84,140010
123,1,140015
124,2,140020
125,1,140028
126,4,140030
127,1,140045
128,3,140047
129,4,140050
130,2,140060
131,44,150010
132,8,150013
133,9,150020
134,24,150030
135,19,150034
136,5,150040
137,9,150050
138,45,150060
139,3,150070
140,76,150080
141,8,150085
142,38,150090
143,22,150095
144,1,150110
145,3,150120
146,15,150125
147,13,150130
148,266,150140
149,5,150150
150,19,150157
151,3,150160
152,66,150170
153,50,150172
154,4,150175
155,2,150178
156,56,150180
157,15,150190
158,24,150200
159,1,150195
160,26,150210
161,8,150215
162,22,150220
163,186,150230
164,51,150240
165,7,150250
166,2,150260
167,49,150270
168,10,150275
169,6,150276
170,19,150277
171,127,150280
172,38,150290
173,61,150293
174,20,150295
175,140,150304
176,34,150307
177,1,150309
178,9,150310
179,20,150320
180,34,150330
181,1,150340
182,23,150345
183,8,150350
184,38,150360
185,12,150370
186,6,150375
187,13,150380
188,157,150400
189,15,150405
190,16,150420
191,7,150430
192,10,150440
193,14,150442
194,18,150445
195,13,150450
196,5,150460
197,21,150470
198,9,150480
199,166,150490
200,7,150495
201,1,150500
202,21,150503
203,14,150506
204,19,150510
205,5,150520
206,13,150530
207,10,150540
208,76,150543
209,14,150548
210,4,150549
211,38,150550
212,25,150553
213,1,150555
214,1,150560
215,14,150563
216,3,150570
217,10,150580
218,31,150590
219,26,150600
220,2,150610
221,61,150613
222,61,150616
223,41,150618
224,26,150619
225,18,150620
226,3,150630
227,2,150635
228,1,150640
229,17,150650
230,1,150655
231,12,150660
232,27,150670
233,3,150680
234,1,150690
235,1,150700
236,3,150710
237,17,150715
238,9,150720
239,375,150730
240,2,150740
241,16,150745
242,1,150746
243,8,150747
244,1,150750
245,20,150760
246,24,150770
247,7,150775
248,9,150780
249,26,150790
250,7,150795
251,4,150797
252,14,150800
253,39,150803
254,24,150805
255,146,150808
256,9,150810
257,84,150812
258,29,150815
259,80,150820
260,102,150830
261,6,150835
262,28,150840
263,6,160020
264,51,160027
265,92,160030
266,8,160040
267,3,160050
268,2,160015
269,2,160053
270,23,160060
271,1,160005
272,2,160080
273,1,170035
274,1,170040
275,9,170070
276,3,170100
277,3,170105
278,1,170110
279,3,170190
280,21,170200
281,36,170210
282,1,170215
283,2,170220
284,8,170230
285,5,170305
286,2,170310
287,2,170320
288,1,170330
289,1,170360
290,3,170370
291,1,170382
292,1,170386
293,1,170389
294,1,170390
295,2,170510
296,12,170550
297,7,171670
298,4,170600
299,3,170610
300,1,170625
301,1,170650
302,2,170700
303,1,170710
304,2,170720
305,1,170730
306,2,170740
307,2,170755
308,2,170765
309,5,170820
310,8,170825
311,4,170830
312,7,170900
313,21,170930
314,35,170950
315,5,170980
316,2,171050
317,2,171090
318,2,171110
319,1,171150
320,1,171180
321,2,171190
322,1,171195
323,1,171200
324,1,171250
325,2,171270
326,24,171320
327,5,171330
328,15,171360
329,1,171370
330,5,171420
331,2,171430
332,2,171488
333,2,171550
334,29,172100
335,1,171570
336,2,171575
337,16,171610
338,3,171620
339,4,171630
340,7,171650
341,8,171660
342,4,171665
343,1,171700
344,4,171720
345,16,171750
346,10,171790
347,90,171820
348,3,171840
349,2,171845
350,1,171855
351,1,171870
352,2,171875
353,5,171884
354,7,171890
355,1,172049
356,2,172065
357,1,172085
358,1,172097
359,3,172110
360,1,172125
361,1,172130
362,2,172208
363,12,172210
364,52,210005
365,1,210015
366,1,210020
367,61,210030
368,7,210043
369,6,210047
370,8,210050
371,31,210060
372,1,210070
373,1,210083
374,6,210087
375,10,210090
376,5,210095
377,4,210100
378,22,210120
379,1,210125
380,17,210130
381,27,210140
382,6,210150
383,29,210160
384,5,210170
385,11,210177
386,1,210173
387,21,210180
388,5,210190
389,5,210193
390,3,210197
391,12,210200
392,24,210203
393,1,210207
394,16,210210
395,1,210220
396,3,210230
397,8,210232
398,4,210235
399,3,210237
400,6,210240
401,15,210260
402,1,210275
403,12,210280
404,8,210290
405,16,210300
406,4,210310
407,2,210315
408,3,210317
409,6,210320
410,10,210325
411,16,210330
412,3,210340
413,51,210350
414,3,210360
415,18,210370
416,2,210375
417,4,210380
418,4,210390
419,5,210400
420,2,210405
421,2,210407
422,2,210408
423,10,210409
424,7,210410
425,8,210440
426,4,210450
427,2,210455
428,1,210460
429,7,210465
430,9,210467
431,1,210470
432,213,210480
433,3,210490
434,2,210500
435,14,210510
436,11,210515
437,14,210520
438,63,210530
439,18,210535
440,21,210540
441,86,210542
442,5,210547
443,10,210550
444,8,210560
445,3,210565
446,6,210570
447,1,210580
448,4,210594
449,2,210590
450,1,210598
451,63,210600
452,1,210620
453,7,210630
454,11,210632
455,1,210635
456,5,210637
457,1,210640
458,6,210650
459,12,210660
460,1,210663
461,1,210667
462,16,210670
463,6,210675
464,1,210680
465,1,210690
466,4,210700
467,8,210710
468,1,210730
469,93,210735
470,3,210745
471,5,210750
472,3,210760
473,11,210770
474,1,210780
475,4,210790
476,26,210800
477,1,210805
478,3,210810
479,92,210820
480,2,210825
481,13,210830
482,13,210840
483,2,210845
484,21,210850
485,31,210860
486,8,210870
487,5,210880
488,17,210890
489,1,210900
490,5,210905
491,6,210910
492,3,210920
493,3,210923
494,5,210927
495,4,210930
496,1,210955
497,4,210960
498,2,210970
499,4,210975
500,7,210980
501,59,210990
502,17,211000
503,6,211003
504,4,211010
505,3,211020
506,1,211023
507,2,211027
508,18,211030
509,2,211040
510,4,211050
511,2,211060
512,1,211065
513,10,211070
514,88,211085
515,8,211090
516,3,211100
517,2,211102
518,43,211107
519,16,211110
520,7,211120
521,1,211125
522,45,211130
