,COUNTS,MUNCOD
0,1,110009
1,1,110011
2,1,110012
3,2,110014
4,4,110020
5,1,110030
6,1,120020
7,10,120040
8,1,130010
9,6,130260
10,1,130420
11,2,140010
12,1,150020
13,6,150080
14,2,150130
15,14,150140
16,1,150210
17,1,150275
18,1,150320
19,1,150380
20,1,150420
21,3,150530
22,1,150540
23,1,150549
24,5,150550
25,2,150553
26,1,150600
27,1,150650
28,1,150680
29,1,150770
30,1,160060
31,5,172100
32,2,171610
33,1,210005
34,2,210340
35,1,210375
36,1,210467
37,1,210825
38,3,210860
39,2,210890
40,1,210927
41,1,210980
42,1,210990
43,1,211120
44,13,211130
45,2,211210
46,2,211270
47,1,220205
48,1,220290
49,1,220340
50,1,220520
51,1,220780
52,1,220800
53,8,221100
54,1,230030
55,1,230150
56,1,230250
57,1,230260
58,1,230350
59,1,230370
60,2,230400
61,1,230410
62,1,230428
63,1,230430
64,22,230440
65,1,230500
66,3,230550
67,1,230590
68,1,230630
69,1,230650
70,1,230740
71,1,230760
72,1,230780
73,1,230810
74,1,231220
75,3,231290
76,1,231330
77,3,231340
78,1,231395
79,1,240020
80,1,240100
81,1,240220
82,1,240260
83,1,240270
84,1,240710
85,4,240810
86,1,241140
87,2,241200
88,1,241355
89,1,241390
90,1,250140
91,2,250400
92,2,250700
93,1,250750
94,1,250950
95,1,260010
96,1,260200
97,1,260290
98,2,260345
99,3,260410
100,3,260600
101,1,260670
102,1,260720
103,5,260790
104,1,260880
105,1,260960
106,1,260970
107,1,261050
108,1,261070
109,1,261080
110,1,261110
111,2,261140
112,9,261160
113,1,261220
114,1,261250
115,1,261300
116,1,261370
117,1,261650
118,1,270140
119,2,270430
120,1,280030
121,1,280210
122,1,280460
123,1,280670
124,2,290210
125,1,290320
126,2,290485
127,4,290520
128,1,290910
129,1,291080
130,1,291250
131,3,291480
132,1,291690
133,2,291800
134,1,291810
135,2,291840
136,1,291920
137,2,292230
138,1,292380
139,1,292450
140,29,292740
141,2,292860
142,1,292890
143,1,293050
144,1,293070
145,1,293080
146,3,293330
147,1,293350
148,11,310030
149,1,310150
150,2,310160
151,3,310163
152,1,310170
153,2,310190
154,13,310230
155,3,310420
156,1,310490
157,2,310560
158,5,310590
159,255,310620
160,50,310670
161,4,310730
162,2,310800
163,12,310930
164,2,311230
165,1,311320
166,1,311340
167,1,311530
168,1,311550
169,1,311660
170,1,311750
171,3,311770
172,1,311830
173,65,311860
174,2,312090
175,1,312230
176,4,312320
177,12,312410
178,1,312420
179,1,312450
180,21,312610
181,1,312640
182,1,312690
183,1,312740
184,1,312760
185,3,312770
186,2,312810
187,1,312820
188,3,312870
189,10,312980
190,1,313010
191,1,313040
192,1,313120
193,5,313130
194,13,313190
195,2,313220
196,1,313240
197,1,313250
198,9,313330
199,1,313350
200,1,313375
201,1,313380
202,1,313510
203,3,313620
204,1,313630
205,11,313670
206,5,313720
207,5,313750
208,2,313760
209,1,313770
210,10,313820
211,1,313850
212,1,313870
213,2,313980
214,1,314015
215,1,314020
216,1,314070
217,1,314150
218,5,314330
219,1,314390
220,11,314470
221,6,314480
222,4,314490
223,2,314500
224,5,314520
225,2,314600
226,1,314610
227,2,314710
228,1,314700
229,1,314720
230,2,314730
231,22,314740
232,1,314790
233,3,314800
234,12,314830
235,2,314875
236,9,314930
237,1,314940
238,1,314970
239,1,315010
240,1,315015
241,12,315120
242,12,315180
243,2,315220
244,1,315250
245,12,315290
246,17,315420
247,12,315460
248,1,315530
249,8,315670
250,1,315700
251,1,315733
252,10,315780
253,1,315890
254,1,316000
255,1,316040
256,13,316210
257,1,316250
258,2,316292
259,4,316295
260,2,316510
261,27,316720
262,1,316790
263,5,316810
264,2,316930
265,1,316940
266,1,316990
267,2,317005
268,6,317010
269,9,317020
270,4,317040
271,2,317070
272,9,317120
273,1,317130
274,1,320115
275,7,320120
276,1,320130
277,2,320140
278,4,320320
279,4,320500
280,1,320520
281,1,330030
282,11,330040
283,1,330045
284,1,330060
285,1,330070
