,COUNTS,MUNCOD
0,7,110001
1,10,110037
2,7,110040
3,5,110034
4,75,110002
5,12,110045
6,6,110003
7,1,110060
8,87,110004
9,1,110070
10,9,110080
11,25,110005
12,5,110092
13,17,110006
14,9,110007
15,7,110008
16,4,110094
17,28,110009
18,1,110100
19,11,110010
20,1,110110
21,44,110011
22,155,110012
23,4,110013
24,7,110130
25,6,110140
26,5,110014
27,11,110033
28,3,110143
29,7,110050
30,20,110015
31,1,110145
32,40,110018
33,110,110020
34,13,110025
35,3,110147
36,2,110026
37,30,110028
38,5,110029
39,3,110148
40,12,110149
41,5,110032
42,7,110150
43,2,110155
44,5,110160
45,4,110170
46,4,110175
47,9,110180
48,120,110030
49,6,120001
50,5,120005
51,18,120010
52,6,120013
53,7,120017
54,7,120020
55,12,120025
56,5,120030
57,1,120035
58,11,120038
59,12,120080
60,424,120040
61,1,120043
62,15,120050
63,16,120045
64,7,120060
65,7,120070
66,1,130008
67,2,130010
68,1,130014
69,3,130030
70,1,130040
71,12,130050
72,5,130060
73,2,130063
74,1,130068
75,17,130070
76,4,130080
77,3,130090
78,1,130100
79,5,130110
80,4,130115
81,6,130120
82,1,130130
83,6,130140
84,1,130160
85,7,130170
86,1,130180
87,11,130185
88,18,130190
89,2,130200
90,2,130240
91,34,130250
92,2,130255
93,1104,130260
94,2,130270
95,3,130280
96,7,130290
97,5,130300
98,1,130310
99,6,130320
100,3,130330
101,24,130340
102,2,130350
103,3,130353
104,6,130356
105,3,130370
106,5,130380
107,2,130395
108,3,130406
109,14,130420
110,2,130430
111,3,130440
112,3,140005
113,7,140002
114,299,140010
115,4,140015
116,1,140017
117,7,140020
118,2,140023
119,2,140028
120,15,140030
121,5,140040
122,6,140045
123,2,140047
124,2,140050
125,4,140070
126,28,150010
127,4,150013
128,12,150020
129,6,150030
130,4,150034
131,15,150040
132,5,150050
133,100,150060
134,1,150070
135,141,150080
136,11,150085
137,24,150090
138,3,150100
139,2,150110
140,8,150120
141,3,150125
142,33,150130
143,646,150140
144,7,150145
145,13,150150
146,1,150157
147,4,150160
148,111,150170
149,11,150172
150,1,150175
151,7,150178
152,19,150180
153,9,150190
154,1,150200
155,1,150195
156,20,150210
157,2,150215
158,21,150220
159,11,150230
160,125,150240
161,4,150250
162,5,150260
163,39,150270
164,2,150275
165,2,150277
166,4,150280
167,13,150290
168,9,150293
169,2,150295
170,7,150304
171,8,150307
172,6,150309
173,8,150310
174,6,150320
175,21,150330
176,4,150340
177,5,150345
178,7,150350
179,48,150360
180,21,150370
181,1,150375
182,23,150380
183,6,150390
184,3,150400
185,15,150405
186,1,150410
187,107,150420
188,3,150430
189,6,150440
190,34,150442
191,11,150445
192,1,150450
193,1,150460
194,25,150470
195,7,150475
196,16,150480
197,11,150490
198,2,150495
199,1,150497
200,7,150500
201,7,150503
202,9,150506
203,8,150510
204,5,150520
205,27,150530
206,3,150540
207,11,150543
208,15,150548
209,6,150549
210,37,150550
211,60,150553
212,7,150555
213,2,150560
214,1,150563
215,1,150565
216,4,150570
217,10,150580
218,7,150590
219,9,150600
220,6,150610
221,3,150611
222,98,150613
223,18,150616
224,8,150618
225,13,150619
226,24,150620
227,2,150630
228,4,150635
229,1,150640
230,17,150650
231,3,150655
232,12,150658
233,9,150660
234,17,150670
235,252,150680
236,2,150690
237,9,150700
238,9,150710
239,3,150715
240,6,150720
241,26,150730
242,7,150740
243,5,150745
244,7,150746
245,12,150747
246,14,150760
247,5,150770
248,2,150775
249,2,150780
250,8,150790
251,30,150795
252,2,150796
253,8,150797
254,16,150800
255,30,150803
256,3,150805
257,11,150808
258,17,150810
259,38,150812
260,50,150815
261,8,150820
262,19,150830
263,17,150835
264,45,150840
265,3,160010
266,3,160020
267,2,160023
268,2,160025
269,17,160027
270,176,160030
271,2,160040
272,9,160050
273,1,160015
274,4,160053
275,2,160055
276,38,160060
277,2,160080
278,1,170030
279,2,170035
280,4,170040
281,2,170070
282,6,170100
283,1,170110
284,3,170130
285,1,170190
286,4,170200
287,187,170210
288,5,170215
289,2,170220
290,7,170230
291,1,170240
292,2,170255
293,2,170290
294,11,170300
295,4,170305
296,4,170307
297,2,170320
298,2,170330
299,4,170360
300,2,170370
301,1,170380
302,1,170384
303,1,170386
304,2,170389
305,2,170460
306,13,170550
307,3,171670
308,1,170600
309,2,170650
310,5,170700
311,1,170720
312,2,170740
313,2,170755
314,1,170765
315,2,170770
316,1,170820
317,7,170900
318,10,170930
319,38,170950
320,1,170980
321,2,171090
322,1,171110
323,4,171190
324,1,171240
325,1,171245
326,4,171320
327,2,171330
328,2,171395
329,4,171420
330,4,171430
331,4,171488
332,2,171500
333,29,172100
334,2,171570
335,1,171575
336,3,171610
337,1,171620
338,3,171630
339,1,171650
340,8,171660
341,1,171720
342,1,171750
343,1,171780
344,14,171820
345,2,171830
346,5,171855
347,1,171870
348,1,171880
349,5,171886
350,1,171888
351,1,172030
352,1,172049
353,3,172080
354,2,172090
355,5,172120
356,10,172208
357,2,172210
358,44,210005
359,4,210010
360,1,210015
361,1,210020
362,9,210030
363,2,210040
364,12,210043
365,60,210047
366,1,210050
367,14,210060
368,5,210070
369,12,210080
370,2,210083
371,4,210087
372,5,210095
373,6,210100
374,1,210110
375,31,210120
376,5,210125
377,5,210130
378,52,210140
379,11,210150
380,31,210160
381,17,210170
382,9,210177
383,2,210180
384,6,210190
385,1,210193
386,14,210200
387,39,210203
388,1,210207
389,2,210210
390,1,210215
391,1,210220
392,8,210230
393,32,210232
394,4,210235
395,5,210237
396,4,210250
397,6,210255
398,4,210260
399,1,210270
400,10,210275
401,5,210280
402,4,210290
403,84,210300
404,1,210310
405,2,210312
406,2,210317
407,17,210320
408,2,210325
409,48,210330
410,10,210340
411,21,210350
412,2,210355
413,24,210360
414,8,210370
415,1,210375
416,6,210380
417,6,210390
418,3,210400
419,7,210405
420,7,210407
421,8,210409
422,3,210410
423,3,210420
424,2,210430
425,6,210440
426,3,210450
427,6,210455
428,4,210460
429,6,210462
430,1,210465
431,3,210467
432,2,210470
433,26,210480
434,14,210490
435,8,210500
436,5,210510
437,9,210515
438,148,210530
439,5,210535
440,27,210540
441,4,210542
442,3,210545
443,3,210547
444,11,210550
445,6,210560
446,150,210570
447,4,210594
448,2,210590
449,1,210596
450,3,210598
451,3,210600
452,2,210610
453,1,210620
454,2,210632
455,4,210635
456,3,210637
457,5,210640
458,6,210650
459,20,210660
460,3,210670
461,6,210675
462,2,210680
463,20,210690
464,5,210700
465,4,210710
466,2,210720
467,27,210725
468,2,210730
469,1,210735
470,5,210740
471,34,210750
472,4,210760
473,4,210770
474,8,210780
475,2,210790
476,6,210800
477,3,210805
478,14,210810
479,19,210820
480,6,210825
481,3,210830
482,7,210840
483,3,210845
484,25,210850
485,26,210860
486,3,210870
487,1,210880
488,6,210890
489,7,210900
490,24,210910
491,4,210920
492,2,210923
493,1,210927
494,15,210945
495,138,210950
496,9,210955
497,5,210960
498,5,210975
499,4,210980
500,52,210990
501,22,211000
502,1,211003
503,3,211010
504,7,211020
505,3,211027
506,2,211030
507,2,211040
508,7,211050
509,4,211060
510,1,211065
511,28,211070
512,7,211080
513,4,211085
514,2,211090
515,1,211100
516,12,211107
517,4,211110
518,64,211120
519,466,211130
520,3,211140
521,6,211150
522,5,211153
523,10,211157
524,11,211160
525,2,211163
526,1,211167
527,1,211172
528,8,211176
529,1,211178
530,11,211180
531,1,211190
532,3,211200
533,28,211210
534,22,211220
535,3,211223
536,14,211227
537,11,211230
538,8,211240
539,6,211245
540,4,211250
541,4,211260
542,9,211270
543,10,211280
544,5,211285
545,6,211290
546,7,211300
547,23,211400
548,2,220005
549,7,220020
550,4,220030
551,14,220040
552,3,220045
553,4,220050
554,3,220060
555,1,220070
556,7,220090
557,1,220100
558,1,220105
559,1,220110
560,3,220117
561,14,220120
562,1,220130
563,3,220140
564,8,220150
565,1,220155
566,1,220157
567,5,220160
568,3,220170
569,3,220173
570,1,220177
571,2,220180
572,23,220190
573,2,220191
574,1,220192
575,7,220194
576,1,220196
577,2,220200
578,5,220202
579,3,220205
580,1,220209
581,1,220210
582,2,220211
583,1,220213
584,2,220217
585,33,220220
586,4,220230
587,9,220240
588,1,220245
589,2,220250
590,1,220253
591,1,220255
592,10,220260
593,2,220265
594,2,220270
595,2,220271
596,4,220273
597,4,220275
598,2,220277
599,1,220280
600,1,220285
601,7,220290
602,7,220310
603,1,220320
604,3,220323
605,3,220325
606,10,220330
607,2,220335
608,2,220340
609,2,220345
610,6,220342
611,3,220350
612,1,220360
613,30,220370
614,1,220380
615,1,220385
616,35,220390
617,1,220400
618,3,220410
619,2,220415
620,7,220420
621,1,220440
622,2,220450
623,2,220460
624,2,220470
625,1,220480
626,1,220500
627,4,220510
628,1,220520
629,1,220525
630,4,220527
631,15,220530
632,1,220535
633,2,220540
634,5,220545
635,9,220550
636,3,220551
637,3,220552
638,2,220553
639,2,220555
640,2,220557
641,1,220559
642,1,220554
643,3,220560
644,6,220570
645,4,220580
646,1,220585
647,2,220590
648,6,220595
649,3,220600
650,2,220605
651,2,220610
652,14,220620
653,2,220630
654,5,220640
655,3,220650
656,3,220660
657,3,220667
658,5,220670
659,1,220672
660,6,220675
661,9,220680
662,1,220795
663,26,220700
664,1,220710
665,1,220750
666,1,220755
667,24,220760
668,35,220770
669,1,220779
670,2,220780
671,8,220790
672,15,220800
673,1,220810
674,6,220820
675,15,220830
676,20,220840
677,8,220850
678,2,220855
679,2,220860
680,2,220865
681,1,220870
682,6,220880
683,2,220887
684,2,220900
685,2,220915
686,1,220920
687,4,220930
688,2,220940
689,2,220945
690,4,220950
691,2,220955
692,1,220960
693,4,220965
694,4,220970
695,1,220975
696,1,220985
697,1,220987
698,3,220990
699,5,220995
700,2,220997
701,3,221000
702,1,221005
703,4,221030
704,2,221035
705,1,221037
706,2,221039
707,3,221040
708,2,221050
709,7,221060
710,2,221062
711,8,221065
712,3,221070
713,4,221080
714,1,221090
715,2,221093
716,3,221097
717,473,221100
718,13,221110
719,10,221120
720,1,221130
721,1,221135
722,2,221140
723,2,230010
724,10,230015
725,14,230020
726,13,230030
727,1,230040
728,3,230050
729,1,230060
730,4,230070
731,6,230075
732,3,230080
733,2,230090
734,15,230100
735,31,230110
736,6,230120
737,2,230125
738,8,230130
739,3,230140
740,4,230150
741,10,230160
742,11,230170
743,3,230180
744,11,230185
745,61,230190
746,3,230195
747,10,230200
748,2,230205
749,10,230210
750,14,230220
751,6,230230
752,43,230240
753,27,230250
754,27,230260
755,20,230270
756,69,230280
757,2,230290
758,9,230300
759,7,230310
760,10,230320
761,4,230330
762,2,230340
763,20,230350
764,6,230360
765,2,230365
766,124,230370
767,11,230380
768,1,230390
769,5,230393
770,3,230395
771,5,230400
772,41,230410
773,159,230420
774,7,230423
775,5,230425
776,3,230426
777,5,230427
778,41,230428
779,20,230430
780,3,230435
781,1154,230440
782,5,230445
783,3,230450
784,6,230460
785,5,230470
786,2,230480
787,2,230490
788,7,230495
789,11,230500
790,1,230510
791,10,230520
792,12,230523
793,6,230526
794,9,230530
795,6,230533
796,4,230535
797,23,230540
798,28,230550
799,6,230560
800,2,230570
801,7,230580
802,7,230590
803,4,230600
804,3,230610
805,2,230620
806,4,230625
807,10,230630
808,36,230640
809,6,230650
810,20,230655
811,13,230660
812,7,230670
813,8,230680
814,14,230690
815,8,230700
816,22,230710
817,2,230720
818,7,230725
819,156,230730
820,2,230740
821,16,230750
822,22,230760
823,14,230763
824,54,230765
825,25,230770
826,5,230780
827,2,230790
828,8,230800
829,12,230810
830,10,230820
831,10,230830
832,2,230835
833,3,230837
834,26,230840
835,21,230850
836,4,230860
837,27,230870
838,2,230880
839,3,230890
840,1,230900
841,2,230910
842,5,230920
843,11,230930
844,8,230940
845,7,230945
846,7,230950
847,22,230960
848,19,230970
849,1,230980
850,2,230990
851,3,231000
852,11,231020
853,9,231025
854,8,231030
855,6,231040
856,5,231050
857,9,231060
858,6,231070
859,2,231080
860,6,231085
861,4,231090
862,4,231095
863,3,231100
864,10,231110
865,15,231120
866,3,231126
867,25,231130
868,5,231135
869,61,231140
870,3,231150
871,10,231160
872,4,231170
873,26,231180
874,11,231195
875,10,231220
876,7,231200
877,16,231210
878,6,231230
879,10,231240
880,1,231260
881,2,231270
882,1,231280
883,47,231290
884,5,231300
885,5,231310
886,14,231320
887,42,231330
888,1,231335
889,15,231340
890,8,231350
891,4,231355
892,9,231360
893,3,231370
894,4,231375
895,7,231380
896,8,231395
897,42,231400
898,21,231410
899,4,240010
900,19,240020
901,3,240050
902,1,240060
903,6,240070
904,2,240080
905,2,240090
906,6,240100
907,7,240110
908,3,240120
909,1,240130
910,3,240140
911,6,240145
912,3,240160
913,1,240165
914,2,240170
915,3,240180
916,1,240185
917,45,240200
918,2,240210
919,9,240220
920,1,240230
921,2,240240
922,5,240250
923,23,240260
924,2,240270
925,2,240290
926,5,240300
927,5,240310
928,1,240320
929,1,240330
930,2,240350
931,13,240360
932,5,240380
933,2,240420
934,4,240430
935,4,240450
936,4,240460
937,5,240470
938,1,240480
939,4,240485
940,2,240500
941,2,240520
942,5,240530
943,17,240560
944,4,240570
945,17,240580
946,2,240600
947,8,240610
948,2,240620
949,4,240650
950,3,240660
951,2,240670
952,4,240680
953,1,240690
954,2,240700
955,24,240710
956,7,240720
957,1,240730
958,2,240740
959,7,240750
960,7,240770
961,2,240780
962,3,240790
963,46,240800
964,406,240810
965,9,240820
966,3,240830
967,1,240840
968,1,240850
969,4,240870
970,2,240880
971,6,240890
972,32,240325
973,4,240910
974,3,240930
975,8,240940
976,1,240950
977,3,240970
978,5,240980
979,1,240990
980,3,241000
981,8,241010
982,2,241020
983,6,241040
984,1,241070
985,4,241090
986,5,240895
987,1,241100
988,23,241120
989,2,240933
990,3,241140
991,4,241150
992,1,241160
993,1,241170
994,2,241180
995,1,241190
996,31,241200
997,3,241210
998,6,241220
999,4,241230
1000,4,241240
1001,8,241250
1002,1,241255
1003,6,241260
1004,1,241270
1005,3,241280
1006,3,241300
1007,2,241310
1008,1,241330
1009,1,241335
1010,4,241340
1011,2,241360
1012,1,241370
1013,9,241390
1014,6,241400
1015,2,241410
1016,3,241415
1017,2,241420
1018,2,241430
1019,7,241440
1020,3,241445
1021,2,241450
1022,1,241460
1023,1,241470
1024,2,241480
1025,1,250010
1026,1,250020
1027,7,250030
1028,4,250040
1029,4,250050
1030,1,250053
1031,12,250060
1032,5,250080
1033,1,250090
1034,5,250110
