,POPULATION,MUNCOD
0,25437,110001.0
1,107345,110002.0
2,6224,110003.0
3,88507,110004.0
4,17934,110005.0
5,18467,110006.0
6,8659,110007.0
7,17400,110008.0
8,33030,110009.0
9,47451,110010.0
10,55871,110011.0
11,132667,110012.0
12,38609,110013.0
13,21747,110014.0
14,39759,110015.0
15,38051,110018.0
16,519436,110020.0
17,22124,110025.0
18,3829,110026.0
19,57074,110028.0
20,8198,110029.0
21,95630,110030.0
22,24181,110032.0
23,28891,110033.0
24,16747,110034.0
25,14045,110037.0
26,20916,110040.0
27,39044,110045.0
28,10051,110050.0
29,6460,110060.0
30,14484,110070.0
31,25266,110080.0
32,3550,110090.0
33,10593,110092.0
34,22443,110094.0
35,9745,110100.0
36,10310,110110.0
37,10751,110120.0
38,12258,110130.0
39,16186,110140.0
40,7769,110143.0
41,5904,110145.0
42,2410,110146.0
43,3411,110147.0
44,5994,110148.0
45,19694,110149.0
46,12653,110150.0
47,4931,110155.0
48,11350,110160.0
49,13106,110170.0
50,11149,110175.0
51,8047,110180.0
52,14366,120001.0
53,6986,120005.0
54,24765,120010.0
55,9664,120013.0
56,11136,120017.0
57,82622,120020.0
58,17340,120025.0
59,32360,120030.0
60,7858,120032.0
61,17910,120033.0
62,8886,120034.0
63,17897,120035.0
64,18510,120038.0
65,11353,120039.0
66,383443,120040.0
67,17945,120042.0
68,6230,120043.0
69,21552,120045.0
70,43139,120050.0
71,40024,120060.0
72,18174,120070.0
73,17459,120080.0
74,15908,130002.0
75,11242,130006.0
76,12978,130008.0
77,20196,130010.0
78,21406,130014.0
79,19054,130020.0
80,38454,130030.0
81,27743,130040.0
82,31542,130050.0
83,41329,130060.0
84,18978,130063.0
85,18483,130068.0
86,34176,130070.0
87,40464,130080.0
88,12820,130083.0
89,15490,130090.0
90,28337,130100.0
91,37399,130110.0
92,29190,130115.0
93,84762,130120.0
94,27817,130130.0
95,34888,130140.0
96,19492,130150.0
97,19669,130160.0
98,16339,130165.0
99,53383,130170.0
100,28299,130180.0
101,47407,130185.0
102,99854,130190.0
103,8128,130195.0
104,9125,130200.0
105,4205,130210.0
106,13956,130220.0
107,15824,130230.0
108,44861,130240.0
109,96460,130250.0
110,30222,130255.0
111,2130264,130260.0
112,54708,130270.0
113,18531,130280.0
114,62212,130290.0
115,20902,130300.0
116,36431,130310.0
117,18586,130320.0
118,25112,130330.0
119,113832,130340.0
120,19597,130350.0
121,34574,130353.0
122,32001,130356.0
123,23765,130360.0
124,23075,130370.0
125,44553,130380.0
126,38047,130390.0
127,13421,130395.0
128,9211,130400.0
129,63635,130406.0
130,17930,130410.0
131,62021,130420.0
132,18782,130423.0
133,13428,130426.0
134,16968,130430.0
135,22148,130440.0
136,11560,140002.0
137,15933,140005.0
138,332020,140010.0
139,11945,140015.0
140,16877,140017.0
141,20807,140020.0
142,9493,140023.0
143,10859,140028.0
144,16852,140030.0
145,10527,140040.0
146,12375,140045.0
147,28215,140047.0
148,7740,140050.0
149,7597,140060.0
150,9836,140070.0
151,153380,150010.0
152,7231,150013.0
153,54096,150020.0
154,38144,150030.0
155,26682,150034.0
156,55246,150040.0
157,33195,150050.0
158,111435,150060.0
159,28466,150070.0
160,516057,150080.0
161,27096,150085.0
162,44734,150090.0
163,30471,150095.0
164,15947,150100.0
165,29808,150110.0
166,46110,150120.0
167,3200,150125.0
168,121190,150130.0
169,1452275,150140.0
170,17249,150145.0
171,60990,150150.0
172,16517,150157.0
173,15834,150160.0
174,124184,150170.0
175,14689,150172.0
176,7182,150175.0
177,64194,150178.0
178,99896,150180.0
179,28331,150190.0
180,32947,150195.0
181,23110,150200.0
182,134100,150210.0
183,36027,150215.0
184,67150,150220.0
185,52839,150230.0
186,195253,150240.0
187,23066,150250.0
188,11759,150260.0
189,46571,150270.0
190,32395,150275.0
191,13093,150276.0
192,17453,150277.0
193,33490,150280.0
194,13996,150285.0
195,38959,150290.0
196,58071,150293.0
197,32892,150295.0
198,7009,150300.0
199,19746,150304.0
200,25363,150307.0
201,39352,150309.0
202,32458,150310.0
203,37753,150320.0
204,60994,150330.0
205,11388,150340.0
206,62237,150345.0
207,31673,150350.0
208,98523,150360.0
209,51835,150370.0
210,8059,150375.0
211,57526,150380.0
212,56325,150390.0
213,28138,150400.0
214,29260,150405.0
215,8316,150410.0
216,271594,150420.0
217,28679,150430.0
218,27569,150440.0
219,127858,150442.0
220,30726,150445.0
221,26897,150450.0
222,30277,150460.0
223,79825,150470.0
224,15646,
225,56466,150480.0
226,39231,150490.0
227,20789,150495.0
228,16221,150497.0
229,14942,150500.0
230,25071,150503.0
231,73802,150506.0
232,50727,150510.0
233,31619,150520.0
234,71078,150530.0
235,17356,150540.0
236,31921,150543.0
237,46383,150548.0
238,7386,150549.0
239,110026,150550.0
240,202356,150553.0
241,5341,150555.0
242,7860,150560.0
243,12632,150563.0
244,30109,150565.0
245,30219,150570.0
246,60322,150580.0
247,39991,150590.0
248,29067,150600.0
249,10534,150610.0
250,13237,150611.0
251,82464,150613.0
252,17705,150616.0
253,50925,150618.0
254,49093,150619.0
255,39569,150620.0
256,23096,150630.0
257,20492,150635.0
258,9845,150640.0
259,68836,150650.0
260,19316,150655.0
261,20849,150658.0
262,24186,150660.0
263,70764,150670.0
264,296302,150680.0
265,6526,150690.0
266,30611,150700.0
267,17563,150710.0
268,24859,150715.0
269,31123,150720.0
270,124806,150730.0
271,15454,150740.0
272,24188,150745.0
273,5970,150746.0
274,22415,150747.0
275,13616,150750.0
276,57364,150760.0
277,25904,150770.0
278,5766,150775.0
279,11357,150780.0
280,24682,150790.0
281,103321,150795.0
282,11399,150796.0
283,18257,150797.0
284,61709,150800.0
285,30108,150803.0
286,18469,150805.0
287,38508,150808.0
288,110516,150810.0
289,57525,150812.0
290,44258,150815.0
291,52216,150820.0
292,59735,150830.0
293,14719,150835.0
294,43530,150840.0
295,5111,160005.0
296,8757,160010.0
297,15125,160015.0
298,10525,160020.0
299,5637,160021.0
300,7270,160023.0
301,5172,160025.0
302,47554,160027.0
303,474706,160030.0
304,20387,160040.0
305,25514,160050.0
306,20611,160053.0
307,4779,160055.0
308,115471,160060.0
309,16112,160070.0
310,14991,160080.0
311,2571,170025.0
312,6460,170030.0
313,5527,170035.0
314,7273,170040.0
315,8516,170070.0
316,9749,170100.0
317,3423,170105.0
318,4726,170110.0
319,5865,170130.0
320,7003,170190.0
321,8692,170200.0
322,175960,170210.0
323,5645,170215.0
324,35216,170220.0
325,6756,170230.0
326,10727,170240.0
327,18089,170255.0
328,3735,170270.0
329,9776,170290.0
330,10752,170300.0
331,3500,170305.0
332,4544,170307.0
333,5643,170310.0
334,4518,170320.0
335,4700,170330.0
336,2199,170360.0
337,5499,170370.0
338,11135,170380.0
339,2276,170382.0
340,9795,170384.0
341,4296,170386.0
342,2555,170388.0
343,4055,170389.0
344,5265,170390.0
345,2866,170410.0
346,1407,170460.0
347,3364,170510.0
348,34839,170550.0
349,4874,170555.0
350,4179,170560.0
351,5529,170600.0
352,7374,170610.0
353,1708,170625.0
354,5988,170650.0
355,21738,170700.0
356,6868,170710.0
357,7286,170720.0
358,4727,170730.0
359,10793,170740.0
360,3879,170755.0
361,5352,170765.0
362,8893,170770.0
363,18684,170820.0
364,2584,170825.0
365,5153,170830.0
366,12973,170900.0
367,25642,170930.0
368,85523,170950.0
369,1955,170980.0
370,7456,171050.0
371,5980,171070.0
372,3772,171090.0
373,2465,171110.0
374,3821,171150.0
375,2229,171180.0
376,12808,171190.0
377,4191,171195.0
378,3092,171200.0
379,1875,171215.0
380,3787,171240.0
381,3038,171245.0
382,5054,171250.0
383,2614,171270.0
384,3409,171280.0
385,19055,171320.0
386,13426,171330.0
387,7770,171360.0
388,2264,171370.0
389,6535,171380.0
390,3507,171395.0
391,9312,171420.0
392,4060,171430.0
393,11715,171488.0
394,4203,171500.0
395,4267,171510.0
396,2353,171515.0
397,2697,171525.0
398,1110,171550.0
399,5859,171570.0
400,7687,171575.0
401,50360,171610.0
402,10562,171620.0
403,4853,171630.0
404,13288,171650.0
405,11591,171660.0
406,5453,171665.0
407,8409,171670.0
408,4520,171700.0
409,3044,171720.0
410,7536,171750.0
411,4645,171780.0
412,7949,171790.0
413,3102,171800.0
414,52828,171820.0
415,8365,171830.0
416,3733,171840.0
417,2650,171845.0
418,4230,171850.0
419,4601,171855.0
420,2061,171865.0
421,2810,171870.0
422,6512,171875.0
423,4579,171880.0
424,3410,171884.0
425,7402,171886.0
426,3356,171888.0
427,2343,171889.0
428,4833,171890.0
429,2825,171900.0
430,2550,172000.0
431,5231,172010.0
432,1571,172015.0
433,11906,172020.0
434,3084,172025.0
435,4749,172030.0
436,4111,172049.0
