,POPULATION,MUNCOD,YEAR
0,25437,110001,2017
1,107345,110002,2017
2,6224,110003,2017
3,88507,110004,2017
4,17934,110005,2017
5,18467,110006,2017
6,8659,110007,2017
7,17400,110008,2017
8,33030,110009,2017
9,47451,110010,2017
10,55871,110011,2017
11,132667,110012,2017
12,38609,110013,2017
13,21747,110014,2017
14,39759,110015,2017
15,38051,110018,2017
16,519436,110020,2017
17,22124,110025,2017
18,3829,110026,2017
19,57074,110028,2017
20,8198,110029,2017
21,95630,110030,2017
22,24181,110032,2017
23,28891,110033,2017
24,16747,110034,2017
25,14045,110037,2017
26,20916,110040,2017
27,39044,110045,2017
28,10051,110050,2017
29,6460,110060,2017
30,14484,110070,2017
31,25266,110080,2017
32,3550,110090,2017
33,10593,110092,2017
34,22443,110094,2017
35,9745,110100,2017
36,10310,110110,2017
37,10751,110120,2017
38,12258,110130,2017
39,16186,110140,2017
40,7769,110143,2017
41,5904,110145,2017
42,2410,110146,2017
43,3411,110147,2017
44,5994,110148,2017
45,19694,110149,2017
46,12653,110150,2017
47,4931,110155,2017
48,11350,110160,2017
49,13106,110170,2017
50,11149,110175,2017
51,8047,110180,2017
52,14366,120001,2017
53,6986,120005,2017
54,24765,120010,2017
55,9664,120013,2017
56,11136,120017,2017
57,82622,120020,2017
58,17340,120025,2017
59,32360,120030,2017
60,7858,120032,2017
61,17910,120033,2017
62,8886,120034,2017
63,17897,120035,2017
64,18510,120038,2017
65,11353,120039,2017
66,383443,120040,2017
67,17945,120042,2017
68,6230,120043,2017
69,21552,120045,2017
70,43139,120050,2017
71,40024,120060,2017
72,18174,120070,2017
73,17459,120080,2017
74,15908,130002,2017
75,11242,130006,2017
76,12978,130008,2017
77,20196,130010,2017
78,21406,130014,2017
79,19054,130020,2017
80,38454,130030,2017
81,27743,130040,2017
82,31542,130050,2017
83,41329,130060,2017
84,18978,130063,2017
85,18483,130068,2017
86,34176,130070,2017
87,40464,130080,2017
88,12820,130083,2017
89,15490,130090,2017
90,28337,130100,2017
91,37399,130110,2017
92,29190,130115,2017
93,84762,130120,2017
94,27817,130130,2017
95,34888,130140,2017
96,19492,130150,2017
97,19669,130160,2017
98,16339,130165,2017
99,53383,130170,2017
100,28299,130180,2017
101,47407,130185,2017
102,99854,130190,2017
103,8128,130195,2017
104,9125,130200,2017
105,4205,130210,2017
106,13956,130220,2017
107,15824,130230,2017
108,44861,130240,2017
109,96460,130250,2017
110,30222,130255,2017
111,2130264,130260,2017
112,54708,130270,2017
113,18531,130280,2017
114,62212,130290,2017
115,20902,130300,2017
116,36431,130310,2017
117,18586,130320,2017
118,25112,130330,2017
119,113832,130340,2017
120,19597,130350,2017
121,34574,130353,2017
122,32001,130356,2017
123,23765,130360,2017
124,23075,130370,2017
125,44553,130380,2017
126,38047,130390,2017
127,13421,130395,2017
128,9211,130400,2017
129,63635,130406,2017
130,17930,130410,2017
131,62021,130420,2017
132,18782,130423,2017
133,13428,130426,2017
134,16968,130430,2017
135,22148,130440,2017
136,11560,140002,2017
137,15933,140005,2017
138,332020,140010,2017
139,11945,140015,2017
140,16877,140017,2017
141,20807,140020,2017
142,9493,140023,2017
143,10859,140028,2017
144,16852,140030,2017
145,10527,140040,2017
146,12375,140045,2017
147,28215,140047,2017
148,7740,140050,2017
149,7597,140060,2017
150,9836,140070,2017
151,153380,150010,2017
152,7231,150013,2017
153,54096,150020,2017
154,38144,150030,2017
155,26682,150034,2017
156,55246,150040,2017
157,33195,150050,2017
158,111435,150060,2017
159,28466,150070,2017
160,516057,150080,2017
161,27096,150085,2017
162,44734,150090,2017
163,30471,150095,2017
164,15947,150100,2017
165,29808,150110,2017
166,46110,150120,2017
167,3200,150125,2017
168,121190,150130,2017
169,1452275,150140,2017
170,17249,150145,2017
171,60990,150150,2017
172,16517,150157,2017
173,15834,150160,2017
174,124184,150170,2017
175,14689,150172,2017
176,7182,150175,2017
177,64194,150178,2017
178,99896,150180,2017
179,28331,150190,2017
180,32947,150195,2017
181,23110,150200,2017
182,134100,150210,2017
183,36027,150215,2017
184,67150,150220,2017
185,52839,150230,2017
186,195253,150240,2017
187,23066,150250,2017
188,11759,150260,2017
189,46571,150270,2017
190,32395,150275,2017
191,13093,150276,2017
192,17453,150277,2017
193,33490,150280,2017
194,13996,150285,2017
195,38959,150290,2017
196,58071,150293,2017
197,32892,150295,2017
198,7009,150300,2017
199,19746,150304,2017
200,25363,150307,2017
201,39352,150309,2017
202,32458,150310,2017
203,37753,150320,2017
204,60994,150330,2017
205,11388,150340,2017
206,62237,150345,2017
207,31673,150350,2017
208,98523,150360,2017
209,51835,150370,2017
210,8059,150375,2017
211,57526,150380,2017
212,56325,150390,2017
213,28138,150400,2017
214,29260,150405,2017
215,8316,150410,2017
216,271594,150420,2017
217,28679,150430,2017
218,27569,150440,2017
219,127858,150442,2017
220,30726,150445,2017
221,26897,150450,2017
222,30277,150460,2017
223,79825,150470,2017
224,15646,150475,2017
225,56466,150480,2017
226,39231,150490,2017
227,20789,150495,2017
228,16221,150497,2017
229,14942,150500,2017
230,25071,150503,2017
231,73802,150506,2017
232,50727,150510,2017
233,31619,150520,2017
234,71078,150530,2017
235,17356,150540,2017
236,31921,150543,2017
237,46383,150548,2017
238,7386,150549,2017
239,110026,150550,2017
240,202356,150553,2017
241,5341,150555,2017
242,7860,150560,2017
243,12632,150563,2017
244,30109,150565,2017
245,30219,150570,2017
246,60322,150580,2017
247,39991,150590,2017
248,29067,150600,2017
249,10534,150610,2017
250,13237,150611,2017
251,82464,150613,2017
252,17705,150616,2017
253,50925,150618,2017
254,49093,150619,2017
255,39569,150620,2017
256,23096,150630,2017
257,20492,150635,2017
258,9845,150640,2017
259,68836,150650,2017
260,19316,150655,2017
261,20849,150658,2017
262,24186,150660,2017
263,70764,150670,2017
264,296302,150680,2017
265,6526,150690,2017
266,30611,150700,2017
267,17563,150710,2017
268,24859,150715,2017
269,31123,150720,2017
270,124806,150730,2017
271,15454,150740,2017
272,24188,150745,2017
273,5970,150746,2017
274,22415,150747,2017
275,13616,150750,2017
276,57364,150760,2017
277,25904,150770,2017
278,5766,150775,2017
279,11357,150780,2017
280,24682,150790,2017
281,103321,150795,2017
282,11399,150796,2017
283,18257,150797,2017
284,61709,150800,2017
285,30108,150803,2017
286,18469,150805,2017
287,38508,150808,2017
288,110516,150810,2017
289,57525,150812,2017
290,44258,150815,2017
291,52216,150820,2017
292,59735,150830,2017
293,14719,150835,2017
294,43530,150840,2017
